R:358 G:594 B:735 C:1841 cur_avg2160 prev_avg2189 read_idx4 Time:0.1240000009 Measured Time: 0.0000000000  
R:357 G:589 B:725 C:1824 cur_avg2130 prev_avg2160 read_idx5 Time:0.2930000114 Measured Time: 0.0000000000  
R:357 G:585 B:717 C:1812 cur_avg2097 prev_avg2130 read_idx6 Time:0.4619999885 Measured Time: 0.0000000000  
R:357 G:585 B:717 C:1811 cur_avg2064 prev_avg2097 read_idx7 Time:0.6309999942 Measured Time: 0.0000000000  
R:356 G:584 B:715 C:1808 cur_avg2030 prev_avg2064 read_idx8 Time:0.8000000000 Measured Time: 0.0000000000  
R:355 G:583 B:714 C:1805 cur_avg1996 prev_avg2030 read_idx9 Time:0.9700000762 Measured Time: 0.0000000000  
R:354 G:581 B:710 C:1799 cur_avg1959 prev_avg1996 read_idx10 Time:1.1390000581 Measured Time: 0.0000000000  
R:355 G:581 B:708 C:1798 cur_avg1923 prev_avg1959 read_idx0 Time:1.3090000152 Measured Time: 0.0000000000  
R:355 G:581 B:707 C:1798 cur_avg1885 prev_avg1923 read_idx1 Time:1.4780000686 Measured Time: 0.0000000000  
R:355 G:581 B:705 C:1797 cur_avg1847 prev_avg1885 read_idx2 Time:1.6469999313 Measured Time: 0.0000000000  
R:357 G:586 B:710 C:1810 cur_avg1809 prev_avg1847 read_idx3 Time:1.8150000572 Measured Time: 0.0000000000  
R:357 G:584 B:706 C:1803 cur_avg1805 prev_avg1809 read_idx4 Time:1.9850000381 Measured Time: 0.0000000000  
R:356 G:581 B:702 C:1795 cur_avg1803 prev_avg1805 read_idx5 Time:2.1540000438 Measured Time: 0.0000000000  
R:357 G:583 B:704 C:1800 cur_avg1802 prev_avg1803 read_idx6 Time:2.3229999542 Measured Time: 0.0000000000  
R:356 G:582 B:705 C:1799 cur_avg1801 prev_avg1802 read_idx7 Time:2.4920001029 Measured Time: 0.0000000000  
R:356 G:582 B:706 C:1800 cur_avg1800 prev_avg1801 read_idx8 Time:2.6610000133 Measured Time: 0.0000000000  
R:357 G:583 B:707 C:1803 cur_avg1800 prev_avg1800 read_idx9 Time:2.8299999237 Measured Time: 0.0000000000  
R:356 G:583 B:708 C:1804 cur_avg1800 prev_avg1800 read_idx10 Time:3.0000000000 Measured Time: 0.0000000000  
R:356 G:583 B:708 C:1803 cur_avg1801 prev_avg1800 read_idx0 Time:3.1700000762 Measured Time: 0.0000000000  
R:356 G:583 B:708 C:1804 cur_avg1801 prev_avg1801 read_idx1 Time:3.3389999866 Measured Time: 0.0000000000  
R:357 G:584 B:709 C:1806 cur_avg1802 prev_avg1801 read_idx2 Time:3.5079998970 Measured Time: 0.0000000000  
R:356 G:583 B:707 C:1801 cur_avg1801 prev_avg1802 read_idx3 Time:3.6770000457 Measured Time: 0.0000000000  
R:356 G:584 B:710 C:1806 cur_avg1801 prev_avg1801 read_idx4 Time:3.8459999084 Measured Time: 0.0000000000  
R:356 G:585 B:711 C:1808 cur_avg1803 prev_avg1801 read_idx5 Time:4.0149998664 Measured Time: 0.0000000000  
R:356 G:584 B:708 C:1804 cur_avg1803 prev_avg1803 read_idx6 Time:4.1849999427 Measured Time: 0.0000000000  
R:356 G:585 B:710 C:1807 cur_avg1804 prev_avg1803 read_idx7 Time:4.3540000915 Measured Time: 0.0000000000  
R:357 G:584 B:709 C:1806 cur_avg1804 prev_avg1804 read_idx8 Time:4.5229997634 Measured Time: 0.0000000000  
R:356 G:584 B:709 C:1805 cur_avg1804 prev_avg1804 read_idx9 Time:4.6919999122 Measured Time: 0.0000000000  
R:356 G:584 B:709 C:1806 cur_avg1805 prev_avg1804 read_idx10 Time:4.8610000610 Measured Time: 0.0000000000  
R:357 G:585 B:711 C:1808 cur_avg1805 prev_avg1805 read_idx0 Time:5.0310001373 Measured Time: 0.0000000000  
R:356 G:585 B:711 C:1808 cur_avg1805 prev_avg1805 read_idx1 Time:5.2010002136 Measured Time: 0.0000000000  
R:357 G:587 B:717 C:1817 cur_avg1806 prev_avg1805 read_idx2 Time:5.3699998855 Measured Time: 0.0000000000  
R:357 G:591 B:725 C:1832 cur_avg1809 prev_avg1806 read_idx3 Time:5.5390000343 Measured Time: 0.0000000000  
R:357 G:592 B:726 C:1833 cur_avg1812 prev_avg1809 read_idx4 Time:5.7080001831 Measured Time: 0.0000000000  
R:357 G:592 B:727 C:1835 cur_avg1814 prev_avg1812 read_idx5 Time:5.8769998550 Measured Time: 0.0000000000  
R:357 G:592 B:727 C:1835 cur_avg1817 prev_avg1814 read_idx6 Time:6.0460000038 Measured Time: 0.0000000000  
R:357 G:592 B:727 C:1835 cur_avg1820 prev_avg1817 read_idx7 Time:6.2160000801 Measured Time: 0.0000000000  
R:357 G:592 B:727 C:1835 cur_avg1822 prev_avg1820 read_idx8 Time:6.3850002288 Measured Time: 0.0000000000  
R:357 G:592 B:727 C:1835 cur_avg1825 prev_avg1822 read_idx9 Time:6.5539999008 Measured Time: 0.0000000000  
R:357 G:592 B:727 C:1835 cur_avg1828 prev_avg1825 read_idx10 Time:6.7220001220 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1835 cur_avg1830 prev_avg1828 read_idx0 Time:6.8920001983 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1836 cur_avg1833 prev_avg1830 read_idx1 Time:7.0609998703 Measured Time: 0.0000000000  
R:358 G:593 B:728 C:1837 cur_avg1834 prev_avg1833 read_idx2 Time:7.2300000190 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1836 cur_avg1835 prev_avg1834 read_idx3 Time:7.4000000953 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1836 cur_avg1835 prev_avg1835 read_idx4 Time:7.5689997673 Measured Time: 0.0000000000  
R:358 G:593 B:729 C:1837 cur_avg1835 prev_avg1835 read_idx5 Time:7.7379999160 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1836 cur_avg1835 prev_avg1835 read_idx6 Time:7.9070000648 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1836 cur_avg1835 prev_avg1835 read_idx7 Time:8.0760002136 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1836 cur_avg1835 prev_avg1835 read_idx8 Time:8.2449998855 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1837 cur_avg1836 prev_avg1835 read_idx9 Time:8.4149999618 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1837 cur_avg1836 prev_avg1836 read_idx10 Time:8.5839996337 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1836 cur_avg1836 prev_avg1836 read_idx0 Time:8.7539997100 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1836 cur_avg1836 prev_avg1836 read_idx1 Time:8.9230003356 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1835 cur_avg1836 prev_avg1836 read_idx2 Time:9.0920000076 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1835 cur_avg1836 prev_avg1836 read_idx3 Time:9.2609996795 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1836 cur_avg1836 prev_avg1836 read_idx4 Time:9.4309997558 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1835 cur_avg1835 prev_avg1836 read_idx5 Time:9.6000003814 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1835 cur_avg1835 prev_avg1835 read_idx6 Time:9.7690000534 Measured Time: 0.0000000000  
R:357 G:592 B:728 C:1835 cur_avg1835 prev_avg1835 read_idx7 Time:9.9379997253 Measured Time: 0.0000000000  
R:358 G:592 B:728 C:1836 cur_avg1835 prev_avg1835 read_idx8 Time:10.1070003509 Measured Time: 0.0000000000  
