R:323 G:552 B:649 C:1662 cur_avg151 prev_avg0 read_idx1 Time:0.1220000028 Measured Time: 0  
R:322 G:551 B:647 C:1657 cur_avg301 prev_avg151 read_idx2 Time:0.2759999990 Measured Time: 0  
R:323 G:553 B:648 C:1663 cur_avg452 prev_avg301 read_idx3 Time:0.4320000171 Measured Time: 0  
R:322 G:553 B:647 C:1662 cur_avg604 prev_avg452 read_idx4 Time:0.5869999885 Measured Time: 0  
R:322 G:552 B:647 C:1661 cur_avg755 prev_avg604 read_idx5 Time:0.7429999828 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg905 prev_avg755 read_idx6 Time:0.8989999771 Measured Time: 0  
R:321 G:552 B:645 C:1659 cur_avg1056 prev_avg905 read_idx7 Time:1.0540000200 Measured Time: 0  
R:321 G:552 B:644 C:1658 cur_avg1207 prev_avg1056 read_idx8 Time:1.2109999656 Measured Time: 0  
R:321 G:552 B:645 C:1659 cur_avg1358 prev_avg1207 read_idx9 Time:1.3689999580 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1509 prev_avg1358 read_idx10 Time:1.5260000228 Measured Time: 0  
R:321 G:552 B:647 C:1661 cur_avg1660 prev_avg1509 read_idx0 Time:1.6849999427 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1659 prev_avg1660 read_idx1 Time:1.8430000305 Measured Time: 0  
R:321 G:552 B:647 C:1660 cur_avg1660 prev_avg1659 read_idx2 Time:2.0000000000 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1660 read_idx3 Time:2.1579999923 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx4 Time:2.3150000572 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx5 Time:2.4719998836 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx6 Time:2.6300001144 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx7 Time:2.7880001068 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx8 Time:2.9460000991 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx9 Time:3.1029999256 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx10 Time:3.2609999179 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx0 Time:3.4200000762 Measured Time: 0  
R:322 G:552 B:647 C:1662 cur_avg1660 prev_avg1659 read_idx1 Time:3.5769999027 Measured Time: 0  
R:321 G:552 B:646 C:1661 cur_avg1660 prev_avg1660 read_idx2 Time:3.7349998950 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1660 prev_avg1660 read_idx3 Time:3.8929998397 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1660 prev_avg1660 read_idx4 Time:4.0500001907 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1660 prev_avg1660 read_idx5 Time:4.2080001831 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1660 prev_avg1660 read_idx6 Time:4.3660001754 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1660 prev_avg1660 read_idx7 Time:4.5240001678 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1660 prev_avg1660 read_idx8 Time:4.6810002326 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1660 prev_avg1660 read_idx9 Time:4.8390002250 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1659 prev_avg1660 read_idx10 Time:4.9970002174 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1659 prev_avg1659 read_idx0 Time:5.1550002098 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx1 Time:5.3130002021 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx2 Time:5.4710001945 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx3 Time:5.6279997825 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx4 Time:5.7859997749 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx5 Time:5.9439997673 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx6 Time:6.1020002365 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1659 read_idx7 Time:6.2589998245 Measured Time: 0  
R:321 G:551 B:645 C:1658 cur_avg1659 prev_avg1659 read_idx8 Time:6.4169998168 Measured Time: 0  
R:321 G:551 B:645 C:1658 cur_avg1658 prev_avg1659 read_idx9 Time:6.5749998092 Measured Time: 0  
R:321 G:551 B:646 C:1658 cur_avg1658 prev_avg1658 read_idx10 Time:6.7319998741 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx0 Time:6.8909997940 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx1 Time:7.0489997863 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx2 Time:7.2059998512 Measured Time: 0  
R:321 G:552 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx3 Time:7.3639998435 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1658 prev_avg1658 read_idx4 Time:7.5219998359 Measured Time: 0  
R:321 G:552 B:646 C:1660 cur_avg1658 prev_avg1658 read_idx5 Time:7.6799998283 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx6 Time:7.8369998931 Measured Time: 0  
R:321 G:551 B:645 C:1658 cur_avg1658 prev_avg1658 read_idx7 Time:7.9949998855 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx8 Time:8.1529998779 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1659 prev_avg1658 read_idx9 Time:8.3100004196 Measured Time: 0  
R:321 G:551 B:645 C:1658 cur_avg1659 prev_avg1659 read_idx10 Time:8.4680004119 Measured Time: 0  
R:321 G:551 B:646 C:1658 cur_avg1658 prev_avg1659 read_idx0 Time:8.6269998550 Measured Time: 0  
R:321 G:551 B:646 C:1659 cur_avg1658 prev_avg1658 read_idx1 Time:8.7840003967 Measured Time: 0  
R:321 G:551 B:645 C:1658 cur_avg1658 prev_avg1658 read_idx2 Time:8.9420003890 Measured Time: 0  
R:321 G:551 B:646 C:1658 cur_avg1658 prev_avg1658 read_idx3 Time:9.1000003814 Measured Time: 0  
