R:341 G:481 B:569 C:1510 cur_avg1858 prev_avg1890 read_idx7 Time:0.1230000019 
R:343 G:483 B:574 C:1521 cur_avg1826 prev_avg1858 read_idx8 Time:0.2619999885 
R:345 G:490 B:582 C:1540 cur_avg1796 prev_avg1826 read_idx9 Time:0.4009999752 
R:346 G:495 B:589 C:1555 cur_avg1767 prev_avg1796 read_idx10 Time:0.5400000095 
R:346 G:492 B:582 C:1545 cur_avg1736 prev_avg1767 read_idx0 Time:0.6800000190 
R:345 G:490 B:578 C:1538 cur_avg1704 prev_avg1736 read_idx1 Time:0.8190000534 
R:343 G:481 B:565 C:1511 cur_avg1669 prev_avg1704 read_idx2 Time:0.9579999923 
R:343 G:481 B:566 C:1511 cur_avg1634 prev_avg1669 read_idx3 Time:1.0970000076 
R:343 G:482 B:569 C:1517 cur_avg1598 prev_avg1634 read_idx4 Time:1.2359999418 
R:343 G:482 B:568 C:1516 cur_avg1562 prev_avg1598 read_idx5 Time:1.3750000000 
R:343 G:483 B:569 C:1518 cur_avg1525 prev_avg1562 read_idx6 Time:1.5140000343 
R:343 G:481 B:567 C:1513 cur_avg1525 prev_avg1525 read_idx7 Time:1.6529999732 
R:343 G:482 B:567 C:1514 cur_avg1525 prev_avg1525 read_idx8 Time:1.7909999847 
R:343 G:481 B:566 C:1512 cur_avg1522 prev_avg1525 read_idx9 Time:1.9309999465 
R:343 G:480 B:565 C:1510 cur_avg1518 prev_avg1522 read_idx10 Time:2.0699999332 
R:343 G:479 B:563 C:1505 cur_avg1515 prev_avg1518 read_idx0 Time:2.2090001106 
R:344 G:480 B:563 C:1508 cur_avg1512 prev_avg1515 read_idx1 Time:2.3480000495 
R:342 G:477 B:561 C:1502 cur_avg1511 prev_avg1512 read_idx2 Time:2.4879999160 
R:342 G:478 B:562 C:1504 cur_avg1510 prev_avg1511 read_idx3 Time:2.6270000934 
R:342 G:476 B:559 C:1498 cur_avg1509 prev_avg1510 read_idx4 Time:2.7650001049 
R:342 G:479 B:562 C:1505 cur_avg1508 prev_avg1509 read_idx5 Time:2.9040000915 
R:342 G:476 B:559 C:1497 cur_avg1506 prev_avg1508 read_idx6 Time:3.0439999103 
R:342 G:477 B:561 C:1501 cur_avg1505 prev_avg1506 read_idx7 Time:3.1819999217 
R:342 G:477 B:560 C:1499 cur_avg1503 prev_avg1505 read_idx8 Time:3.3210000991 
R:342 G:476 B:560 C:1499 cur_avg1502 prev_avg1503 read_idx9 Time:3.4600000381 
R:343 G:480 B:565 C:1510 cur_avg1502 prev_avg1502 read_idx10 Time:3.5999999046 
R:342 G:478 B:563 C:1504 cur_avg1502 prev_avg1502 read_idx0 Time:3.7390000820 
R:342 G:479 B:563 C:1506 cur_avg1502 prev_avg1502 read_idx1 Time:3.8780000686 
R:343 G:480 B:564 C:1508 cur_avg1502 prev_avg1502 read_idx2 Time:4.0180001258 
R:343 G:480 B:564 C:1508 cur_avg1503 prev_avg1502 read_idx3 Time:4.1560001373 
