R:345 G:492 B:608 C:1567 cur_avg1580 prev_avg1579 read_idx2 Time:0.1220000028 
R:344 G:487 B:595 C:1548 cur_avg1579 prev_avg1580 read_idx3 Time:0.2619999885 
R:343 G:485 B:591 C:1543 cur_avg1578 prev_avg1579 read_idx4 Time:0.4009999752 
R:343 G:486 B:591 C:1544 cur_avg1576 prev_avg1578 read_idx5 Time:0.5389999866 
R:342 G:483 B:585 C:1533 cur_avg1572 prev_avg1576 read_idx6 Time:0.6779999732 
R:344 G:488 B:591 C:1549 cur_avg1569 prev_avg1572 read_idx7 Time:0.8180000305 
R:344 G:483 B:577 C:1531 cur_avg1565 prev_avg1569 read_idx8 Time:0.9569999694 
R:344 G:484 B:579 C:1534 cur_avg1560 prev_avg1565 read_idx9 Time:1.0950000286 
R:345 G:488 B:585 C:1544 cur_avg1555 prev_avg1560 read_idx10 Time:1.2339999675 
R:344 G:486 B:584 C:1540 cur_avg1550 prev_avg1555 read_idx0 Time:1.3750000000 
R:345 G:488 B:586 C:1544 cur_avg1543 prev_avg1550 read_idx1 Time:1.5130000114 
R:345 G:488 B:585 C:1544 cur_avg1541 prev_avg1543 read_idx2 Time:1.6519999504 
R:345 G:488 B:587 C:1546 cur_avg1541 prev_avg1541 read_idx3 Time:1.7920000553 
R:345 G:489 B:588 C:1549 cur_avg1541 prev_avg1541 read_idx4 Time:1.9299999237 
R:345 G:489 B:587 C:1548 cur_avg1542 prev_avg1541 read_idx5 Time:2.0690000057 
R:345 G:489 B:588 C:1549 cur_avg1543 prev_avg1542 read_idx6 Time:2.2079999446 
R:346 G:491 B:589 C:1553 cur_avg1543 prev_avg1543 read_idx7 Time:2.3480000495 
R:346 G:491 B:590 C:1554 cur_avg1545 prev_avg1543 read_idx8 Time:2.4860000610 
R:346 G:491 B:590 C:1554 cur_avg1547 prev_avg1545 read_idx9 Time:2.6250000000 
R:345 G:490 B:589 C:1552 cur_avg1548 prev_avg1547 read_idx10 Time:2.7639999389 
R:345 G:488 B:586 C:1545 cur_avg1548 prev_avg1548 read_idx0 Time:2.9040000915 
R:345 G:488 B:586 C:1546 cur_avg1549 prev_avg1548 read_idx1 Time:3.0429999828 
R:345 G:489 B:587 C:1547 cur_avg1549 prev_avg1549 read_idx2 Time:3.1819999217 
R:345 G:489 B:587 C:1548 cur_avg1549 prev_avg1549 read_idx3 Time:3.3199999332 
R:345 G:488 B:586 C:1545 cur_avg1549 prev_avg1549 read_idx4 Time:3.4600000381 
R:345 G:488 B:586 C:1545 cur_avg1548 prev_avg1549 read_idx5 Time:3.5989999771 
R:345 G:487 B:584 C:1541 cur_avg1548 prev_avg1548 read_idx6 Time:3.7379999160 
R:345 G:488 B:586 C:1546 cur_avg1547 prev_avg1548 read_idx7 Time:3.8759999275 
R:345 G:489 B:587 C:1547 cur_avg1546 prev_avg1547 read_idx8 Time:4.0159997940 
R:345 G:490 B:589 C:1551 cur_avg1546 prev_avg1546 read_idx9 Time:4.1550002098 
R:346 G:491 B:590 C:1554 cur_avg1546 prev_avg1546 read_idx10 Time:4.2930002212 
R:345 G:490 B:588 C:1550 cur_avg1547 prev_avg1546 read_idx0 Time:4.4330000877 
R:345 G:491 B:590 C:1552 cur_avg1547 prev_avg1547 read_idx1 Time:4.5729999542 
R:345 G:490 B:589 C:1551 cur_avg1548 prev_avg1547 read_idx2 Time:4.7109999656 
R:345 G:491 B:590 C:1553 cur_avg1548 prev_avg1548 read_idx3 Time:4.8499999046 
R:345 G:491 B:590 C:1554 cur_avg1549 prev_avg1548 read_idx4 Time:4.9889998435 
R:345 G:491 B:590 C:1553 cur_avg1550 prev_avg1549 read_idx5 Time:5.1290001869 
R:345 G:490 B:588 C:1550 cur_avg1551 prev_avg1550 read_idx6 Time:5.2670001983 
R:345 G:489 B:586 C:1546 cur_avg1551 prev_avg1551 read_idx7 Time:5.4060001373 
R:345 G:486 B:583 C:1540 cur_avg1550 prev_avg1551 read_idx8 Time:5.5460000038 
R:344 G:486 B:583 C:1539 cur_avg1549 prev_avg1550 read_idx9 Time:5.6840000152 
R:345 G:486 B:583 C:1541 cur_avg1548 prev_avg1549 read_idx10 Time:5.8229999542 
R:345 G:487 B:584 C:1543 cur_avg1547 prev_avg1548 read_idx0 Time:5.9629998207 
R:345 G:487 B:585 C:1543 cur_avg1546 prev_avg1547 read_idx1 Time:6.1030001640 
R:345 G:487 B:584 C:1542 cur_avg1545 prev_avg1546 read_idx2 Time:6.2410001754 
R:345 G:487 B:584 C:1542 cur_avg1544 prev_avg1545 read_idx3 Time:6.3800001144 
R:345 G:486 B:585 C:1542 cur_avg1543 prev_avg1544 read_idx4 Time:6.5190000534 
R:344 G:486 B:584 C:1541 cur_avg1542 prev_avg1543 read_idx5 Time:6.6579999923 
R:345 G:486 B:584 C:1541 cur_avg1541 prev_avg1542 read_idx6 Time:6.7969999313 
R:345 G:487 B:585 C:1543 cur_avg1541 prev_avg1541 read_idx7 Time:6.9359998703 
R:345 G:487 B:585 C:1544 cur_avg1541 prev_avg1541 read_idx8 Time:7.0749998092 
R:345 G:487 B:585 C:1544 cur_avg1542 prev_avg1541 read_idx9 Time:7.2140002250 
R:345 G:487 B:585 C:1543 cur_avg1542 prev_avg1542 read_idx10 Time:7.3530001640 
R:345 G:487 B:586 C:1545 cur_avg1542 prev_avg1542 read_idx0 Time:7.4930000305 
R:345 G:487 B:585 C:1544 cur_avg1542 prev_avg1542 read_idx1 Time:7.6310000419 
R:345 G:487 B:585 C:1543 cur_avg1542 prev_avg1542 read_idx2 Time:7.7709999084 
R:345 G:487 B:585 C:1544 cur_avg1543 prev_avg1542 read_idx3 Time:7.9099998474 
R:345 G:487 B:585 C:1543 cur_avg1543 prev_avg1543 read_idx4 Time:8.0480003356 
R:345 G:487 B:585 C:1543 cur_avg1543 prev_avg1543 read_idx5 Time:8.1870002746 
R:345 G:487 B:586 C:1544 cur_avg1543 prev_avg1543 read_idx6 Time:8.3269996643 
R:345 G:487 B:585 C:1543 cur_avg1543 prev_avg1543 read_idx7 Time:8.4659996032 
R:345 G:487 B:586 C:1545 cur_avg1543 prev_avg1543 read_idx8 Time:8.6040000915 
R:345 G:487 B:586 C:1545 cur_avg1543 prev_avg1543 read_idx9 Time:8.7430000305 
R:345 G:487 B:586 C:1545 cur_avg1544 prev_avg1543 read_idx10 Time:8.8830003738 
R:345 G:487 B:586 C:1544 cur_avg1543 prev_avg1544 read_idx0 Time:9.0220003128 
R:345 G:486 B:585 C:1543 cur_avg1543 prev_avg1543 read_idx1 Time:9.1610002517 
R:344 G:486 B:584 C:1541 cur_avg1543 prev_avg1543 read_idx2 Time:9.3009996414 
R:344 G:486 B:585 C:1542 cur_avg1543 prev_avg1543 read_idx3 Time:9.4399995803 
R:344 G:486 B:585 C:1542 cur_avg1543 prev_avg1543 read_idx4 Time:9.5780000686 
R:345 G:487 B:586 C:1543 cur_avg1543 prev_avg1543 read_idx5 Time:9.7170000076 
R:345 G:487 B:585 C:1543 cur_avg1543 prev_avg1543 read_idx6 Time:9.8570003509 
R:345 G:487 B:586 C:1544 cur_avg1543 prev_avg1543 read_idx7 Time:9.9949998855 
