R:342 G:507 B:612 C:1594 cur_avg144 prev_avg0 read_idx1 Time:0.1230000019 
R:342 G:508 B:612 C:1596 cur_avg290 prev_avg144 read_idx2 Time:0.2579999923 
R:341 G:504 B:603 C:1583 cur_avg433 prev_avg290 read_idx3 Time:0.3940000057 
R:340 G:505 B:604 C:1585 cur_avg578 prev_avg433 read_idx4 Time:0.5310000419 
R:339 G:506 B:608 C:1589 cur_avg722 prev_avg578 read_idx5 Time:0.6690000534 
R:338 G:505 B:607 C:1587 cur_avg866 prev_avg722 read_idx6 Time:0.8050000190 
R:338 G:503 B:603 C:1581 cur_avg1010 prev_avg866 read_idx7 Time:0.9420000076 
R:338 G:503 B:604 C:1581 cur_avg1154 prev_avg1010 read_idx8 Time:1.0800000381 
R:337 G:497 B:593 C:1563 cur_avg1296 prev_avg1154 read_idx9 Time:1.2189999818 
R:338 G:499 B:595 C:1569 cur_avg1438 prev_avg1296 read_idx10 Time:1.3580000400 
R:339 G:500 B:594 C:1569 cur_avg1581 prev_avg1438 read_idx0 Time:1.4980000495 
R:339 G:500 B:593 C:1569 cur_avg1579 prev_avg1581 read_idx1 Time:1.6360000610 
R:339 G:500 B:593 C:1568 cur_avg1576 prev_avg1579 read_idx2 Time:1.7760000228 
R:339 G:499 B:593 C:1567 cur_avg1575 prev_avg1576 read_idx3 Time:1.9149999618 
R:339 G:500 B:594 C:1569 cur_avg1573 prev_avg1575 read_idx4 Time:2.0539999008 
R:339 G:500 B:594 C:1569 cur_avg1572 prev_avg1573 read_idx5 Time:2.1919999122 
R:339 G:499 B:594 C:1569 cur_avg1570 prev_avg1572 read_idx6 Time:2.3320000171 
R:339 G:499 B:593 C:1568 cur_avg1569 prev_avg1570 read_idx7 Time:2.4709999561 
R:339 G:499 B:593 C:1567 cur_avg1567 prev_avg1569 read_idx8 Time:2.6089999675 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1567 read_idx9 Time:2.7479999065 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx10 Time:2.8880000114 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx0 Time:3.0269999504 
R:339 G:499 B:593 C:1568 cur_avg1568 prev_avg1568 read_idx1 Time:3.1659998893 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx2 Time:3.3050000667 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx3 Time:3.4449999332 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx4 Time:3.5829999446 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx5 Time:3.7219998836 
R:339 G:499 B:593 C:1568 cur_avg1568 prev_avg1568 read_idx6 Time:3.8610000610 
R:338 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx7 Time:4.0000000000 
R:338 G:499 B:594 C:1568 cur_avg1568 prev_avg1568 read_idx8 Time:4.1389999389 
R:339 G:499 B:593 C:1568 cur_avg1568 prev_avg1568 read_idx9 Time:4.2779998779 
R:339 G:499 B:593 C:1568 cur_avg1568 prev_avg1568 read_idx10 Time:4.4169998168 
R:339 G:500 B:593 C:1569 cur_avg1568 prev_avg1568 read_idx0 Time:4.5570001602 
R:339 G:500 B:594 C:1569 cur_avg1568 prev_avg1568 read_idx1 Time:4.6960000991 
