R:335 G:471 B:560 C:1478 cur_avg134 prev_avg0 read_idx1 Time:0.1220000028 Measured Time: 0  
R:333 G:467 B:553 C:1465 cur_avg267 prev_avg134 read_idx2 Time:0.2759999990 Measured Time: 0  
R:332 G:464 B:546 C:1455 cur_avg399 prev_avg267 read_idx3 Time:0.4320000171 Measured Time: 0  
R:332 G:465 B:546 C:1456 cur_avg532 prev_avg399 read_idx4 Time:0.5869999885 Measured Time: 0  
R:332 G:464 B:544 C:1452 cur_avg664 prev_avg532 read_idx5 Time:0.7429999828 Measured Time: 0  
R:331 G:463 B:543 C:1452 cur_avg796 prev_avg664 read_idx6 Time:0.8989999771 Measured Time: 0  
R:331 G:463 B:543 C:1452 cur_avg928 prev_avg796 read_idx7 Time:1.0540000200 Measured Time: 0  
R:331 G:463 B:542 C:1450 cur_avg1060 prev_avg928 read_idx8 Time:1.2100000381 Measured Time: 0  
R:331 G:462 B:542 C:1449 cur_avg1191 prev_avg1060 read_idx9 Time:1.3669999837 Measured Time: 0  
R:331 G:462 B:542 C:1450 cur_avg1323 prev_avg1191 read_idx10 Time:1.5240000724 Measured Time: 0  
R:331 G:462 B:542 C:1449 cur_avg1455 prev_avg1323 read_idx0 Time:1.6829999923 Measured Time: 0  
R:331 G:463 B:542 C:1450 cur_avg1452 prev_avg1455 read_idx1 Time:1.8409999847 Measured Time: 0  
R:331 G:463 B:542 C:1451 cur_avg1451 prev_avg1452 read_idx2 Time:1.9980000495 Measured Time: 0  
R:331 G:462 B:542 C:1449 cur_avg1450 prev_avg1451 read_idx3 Time:2.1559998989 Measured Time: 0  
R:331 G:462 B:541 C:1447 cur_avg1450 prev_avg1450 read_idx4 Time:2.3139998912 Measured Time: 0  
R:331 G:462 B:542 C:1449 cur_avg1449 prev_avg1450 read_idx5 Time:2.4719998836 Measured Time: 0  
R:331 G:462 B:542 C:1449 cur_avg1449 prev_avg1449 read_idx6 Time:2.6289999485 Measured Time: 0  
R:331 G:462 B:543 C:1451 cur_avg1449 prev_avg1449 read_idx7 Time:2.7869999408 Measured Time: 0  
R:331 G:462 B:541 C:1448 cur_avg1449 prev_avg1449 read_idx8 Time:2.9449998855 Measured Time: 0  
R:331 G:462 B:543 C:1451 cur_avg1449 prev_avg1449 read_idx9 Time:3.1019999980 Measured Time: 0  
R:331 G:462 B:542 C:1448 cur_avg1449 prev_avg1449 read_idx10 Time:3.2599999904 Measured Time: 0  
R:331 G:462 B:543 C:1451 cur_avg1449 prev_avg1449 read_idx0 Time:3.4189999103 Measured Time: 0  
R:331 G:462 B:543 C:1450 cur_avg1449 prev_avg1449 read_idx1 Time:3.5759999752 Measured Time: 0  
R:331 G:462 B:544 C:1452 cur_avg1449 prev_avg1449 read_idx2 Time:3.7339999675 Measured Time: 0  
R:331 G:462 B:543 C:1450 cur_avg1449 prev_avg1449 read_idx3 Time:3.8920000076 Measured Time: 0  
R:331 G:462 B:543 C:1450 cur_avg1449 prev_avg1449 read_idx4 Time:4.0489997863 Measured Time: 0  
R:331 G:463 B:546 C:1454 cur_avg1450 prev_avg1449 read_idx5 Time:4.2069997787 Measured Time: 0  
R:331 G:462 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx6 Time:4.3649997711 Measured Time: 0  
R:331 G:463 B:545 C:1453 cur_avg1450 prev_avg1450 read_idx7 Time:4.5229997634 Measured Time: 0  
R:331 G:462 B:544 C:1452 cur_avg1451 prev_avg1450 read_idx8 Time:4.6799998283 Measured Time: 0  
R:331 G:462 B:543 C:1450 cur_avg1450 prev_avg1451 read_idx9 Time:4.8379998207 Measured Time: 0  
R:331 G:462 B:544 C:1451 cur_avg1451 prev_avg1450 read_idx10 Time:4.9959998130 Measured Time: 0  
R:331 G:462 B:544 C:1451 cur_avg1451 prev_avg1451 read_idx0 Time:5.1539998054 Measured Time: 0  
R:331 G:462 B:544 C:1451 cur_avg1451 prev_avg1451 read_idx1 Time:5.3119997978 Measured Time: 0  
R:331 G:462 B:543 C:1450 cur_avg1451 prev_avg1451 read_idx2 Time:5.4699997901 Measured Time: 0  
R:331 G:465 B:549 C:1460 cur_avg1452 prev_avg1451 read_idx3 Time:5.6269998550 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1453 prev_avg1452 read_idx4 Time:5.7849998474 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1453 prev_avg1453 read_idx5 Time:5.9429998397 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1454 prev_avg1453 read_idx6 Time:6.0999999046 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1455 prev_avg1454 read_idx7 Time:6.2569999694 Measured Time: 0  
R:331 G:465 B:550 C:1461 cur_avg1456 prev_avg1455 read_idx8 Time:6.4149999618 Measured Time: 0  
R:331 G:465 B:550 C:1461 cur_avg1457 prev_avg1456 read_idx9 Time:6.5729999542 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1458 prev_avg1457 read_idx10 Time:6.7300000190 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1459 prev_avg1458 read_idx0 Time:6.8889999389 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1460 prev_avg1459 read_idx1 Time:7.0469999313 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1461 prev_avg1460 read_idx2 Time:7.2039999961 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1461 prev_avg1461 read_idx3 Time:7.3619999885 Measured Time: 0  
R:331 G:465 B:550 C:1463 cur_avg1461 prev_avg1461 read_idx4 Time:7.5199999809 Measured Time: 0  
R:331 G:466 B:550 C:1463 cur_avg1462 prev_avg1461 read_idx5 Time:7.6779999732 Measured Time: 0  
R:331 G:466 B:551 C:1463 cur_avg1462 prev_avg1462 read_idx6 Time:7.8350000381 Measured Time: 0  
R:331 G:465 B:550 C:1463 cur_avg1462 prev_avg1462 read_idx7 Time:7.9930000305 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1462 prev_avg1462 read_idx8 Time:8.1510000228 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1462 prev_avg1462 read_idx9 Time:8.3079996109 Measured Time: 0  
R:331 G:465 B:550 C:1462 cur_avg1462 prev_avg1462 read_idx10 Time:8.4659996032 Measured Time: 0  
