R:353 G:648 B:804 C:1980 cur_avg1830 prev_avg1815 read_idx10 Time:0.1240000009 Measured Time: 0.0000000000  
R:353 G:644 B:796 C:1966 cur_avg1844 prev_avg1830 read_idx0 Time:0.2940000057 Measured Time: 0.0000000000  
R:351 G:639 B:785 C:1948 cur_avg1856 prev_avg1844 read_idx1 Time:0.4630000114 Measured Time: 0.0000000000  
R:350 G:636 B:781 C:1941 cur_avg1868 prev_avg1856 read_idx2 Time:0.6320000171 Measured Time: 0.0000000000  
R:350 G:636 B:781 C:1941 cur_avg1880 prev_avg1868 read_idx3 Time:0.8010000228 Measured Time: 0.0000000000  
R:350 G:636 B:778 C:1939 cur_avg1891 prev_avg1880 read_idx4 Time:0.9710000038 Measured Time: 0.0000000000  
R:352 G:638 B:777 C:1942 cur_avg1902 prev_avg1891 read_idx5 Time:1.1399999856 Measured Time: 0.0000000000  
R:354 G:644 B:782 C:1958 cur_avg1915 prev_avg1902 read_idx6 Time:1.3090000152 Measured Time: 0.0000000000  
R:354 G:642 B:776 C:1950 cur_avg1928 prev_avg1915 read_idx7 Time:1.4769999980 Measured Time: 0.0000000000  
R:352 G:638 B:773 C:1939 cur_avg1938 prev_avg1928 read_idx8 Time:1.6460000038 Measured Time: 0.0000000000  
R:351 G:634 B:769 C:1930 cur_avg1948 prev_avg1938 read_idx9 Time:1.8150000572 Measured Time: 0.0000000000  
R:351 G:635 B:771 C:1933 cur_avg1944 prev_avg1948 read_idx10 Time:1.9850000381 Measured Time: 0.0000000000  
R:352 G:636 B:772 C:1936 cur_avg1941 prev_avg1944 read_idx0 Time:2.1549999713 Measured Time: 0.0000000000  
R:351 G:636 B:773 C:1936 cur_avg1940 prev_avg1941 read_idx1 Time:2.3239998817 Measured Time: 0.0000000000  
R:351 G:636 B:773 C:1936 cur_avg1940 prev_avg1940 read_idx2 Time:2.4930000305 Measured Time: 0.0000000000  
R:351 G:636 B:772 C:1935 cur_avg1939 prev_avg1940 read_idx3 Time:2.6619999408 Measured Time: 0.0000000000  
R:351 G:636 B:772 C:1934 cur_avg1939 prev_avg1939 read_idx4 Time:2.8310001373 Measured Time: 0.0000000000  
R:351 G:636 B:773 C:1935 cur_avg1938 prev_avg1939 read_idx5 Time:3.0000000000 Measured Time: 0.0000000000  
R:351 G:636 B:773 C:1935 cur_avg1936 prev_avg1938 read_idx6 Time:3.1700000762 Measured Time: 0.0000000000  
R:351 G:636 B:772 C:1934 cur_avg1934 prev_avg1936 read_idx7 Time:3.3389999866 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1933 cur_avg1934 prev_avg1934 read_idx8 Time:3.5079998970 Measured Time: 0.0000000000  
R:351 G:635 B:772 C:1933 cur_avg1934 prev_avg1934 read_idx9 Time:3.6770000457 Measured Time: 0.0000000000  
R:351 G:637 B:773 C:1936 cur_avg1934 prev_avg1934 read_idx10 Time:3.8459999084 Measured Time: 0.0000000000  
R:351 G:638 B:776 C:1941 cur_avg1935 prev_avg1934 read_idx0 Time:4.0159997940 Measured Time: 0.0000000000  
R:351 G:638 B:775 C:1939 cur_avg1935 prev_avg1935 read_idx1 Time:4.1859998703 Measured Time: 0.0000000000  
R:351 G:637 B:774 C:1937 cur_avg1935 prev_avg1935 read_idx2 Time:4.3550000190 Measured Time: 0.0000000000  
R:351 G:637 B:775 C:1939 cur_avg1936 prev_avg1935 read_idx3 Time:4.5240001678 Measured Time: 0.0000000000  
R:351 G:637 B:773 C:1936 cur_avg1936 prev_avg1936 read_idx4 Time:4.6929998397 Measured Time: 0.0000000000  
R:351 G:638 B:775 C:1940 cur_avg1936 prev_avg1936 read_idx5 Time:4.8619999885 Measured Time: 0.0000000000  
R:351 G:639 B:777 C:1943 cur_avg1937 prev_avg1936 read_idx6 Time:5.0310001373 Measured Time: 0.0000000000  
R:351 G:638 B:776 C:1941 cur_avg1938 prev_avg1937 read_idx7 Time:5.2010002136 Measured Time: 0.0000000000  
R:351 G:636 B:773 C:1935 cur_avg1938 prev_avg1938 read_idx8 Time:5.3699998855 Measured Time: 0.0000000000  
R:350 G:634 B:768 C:1927 cur_avg1937 prev_avg1938 read_idx9 Time:5.5390000343 Measured Time: 0.0000000000  
R:350 G:634 B:769 C:1929 cur_avg1937 prev_avg1937 read_idx10 Time:5.7080001831 Measured Time: 0.0000000000  
R:351 G:635 B:770 C:1930 cur_avg1936 prev_avg1937 read_idx0 Time:5.8779997825 Measured Time: 0.0000000000  
R:350 G:635 B:770 C:1930 cur_avg1935 prev_avg1936 read_idx1 Time:6.0469999313 Measured Time: 0.0000000000  
R:350 G:635 B:770 C:1930 cur_avg1934 prev_avg1935 read_idx2 Time:6.2160000801 Measured Time: 0.0000000000  
R:350 G:635 B:770 C:1930 cur_avg1933 prev_avg1934 read_idx3 Time:6.3860001564 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1931 cur_avg1933 prev_avg1933 read_idx4 Time:6.5539999008 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1931 cur_avg1932 prev_avg1933 read_idx5 Time:6.7230000495 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1931 cur_avg1931 prev_avg1932 read_idx6 Time:6.8920001983 Measured Time: 0.0000000000  
R:350 G:634 B:770 C:1930 cur_avg1930 prev_avg1931 read_idx7 Time:7.0609998703 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1931 cur_avg1930 prev_avg1930 read_idx8 Time:7.2300000190 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1932 cur_avg1930 prev_avg1930 read_idx9 Time:7.4000000953 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1932 cur_avg1930 prev_avg1930 read_idx10 Time:7.5689997673 Measured Time: 0.0000000000  
R:351 G:635 B:772 C:1933 cur_avg1931 prev_avg1930 read_idx0 Time:7.7389998435 Measured Time: 0.0000000000  
R:351 G:635 B:772 C:1932 cur_avg1931 prev_avg1931 read_idx1 Time:7.9079999923 Measured Time: 0.0000000000  
R:351 G:635 B:772 C:1932 cur_avg1931 prev_avg1931 read_idx2 Time:8.0769996643 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1932 cur_avg1931 prev_avg1931 read_idx3 Time:8.2460002899 Measured Time: 0.0000000000  
R:350 G:635 B:771 C:1932 cur_avg1931 prev_avg1931 read_idx4 Time:8.4160003662 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1931 prev_avg1931 read_idx5 Time:8.5850000381 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1931 prev_avg1931 read_idx6 Time:8.7539997100 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1932 prev_avg1931 read_idx7 Time:8.9230003356 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1932 prev_avg1932 read_idx8 Time:9.0920000076 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1932 prev_avg1932 read_idx9 Time:9.2609996795 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1932 prev_avg1932 read_idx10 Time:9.4300003051 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1932 cur_avg1932 prev_avg1932 read_idx0 Time:9.6009998321 Measured Time: 0.0000000000  
R:351 G:635 B:772 C:1933 cur_avg1932 prev_avg1932 read_idx1 Time:9.7700004577 Measured Time: 0.0000000000  
R:351 G:636 B:772 C:1934 cur_avg1932 prev_avg1932 read_idx2 Time:9.9390001296 Measured Time: 0.0000000000  
R:351 G:635 B:772 C:1933 cur_avg1932 prev_avg1932 read_idx3 Time:10.1079998016 Measured Time: 0.0000000000  
R:350 G:635 B:772 C:1933 cur_avg1932 prev_avg1932 read_idx4 Time:10.2779998779 Measured Time: 0.0000000000  
