R:320 G:774 B:775 C:2062 cur_avg2106 prev_avg2117 read_idx5 Time:0.1230000019 Measured Time: 0.0000000000  
R:321 G:778 B:782 C:2074 cur_avg2101 prev_avg2106 read_idx6 Time:0.2930000114 Measured Time: 0.0000000000  
R:321 G:780 B:787 C:2081 cur_avg2098 prev_avg2101 read_idx7 Time:0.4619999885 Measured Time: 0.0000000000  
R:321 G:781 B:788 C:2084 cur_avg2096 prev_avg2098 read_idx8 Time:0.6309999942 Measured Time: 0.0000000000  
R:320 G:783 B:791 C:2090 cur_avg2094 prev_avg2096 read_idx9 Time:0.8000000000 Measured Time: 0.0000000000  
R:320 G:781 B:789 C:2085 cur_avg2092 prev_avg2094 read_idx10 Time:0.9689999580 Measured Time: 0.0000000000  
R:320 G:784 B:791 C:2092 cur_avg2091 prev_avg2092 read_idx0 Time:1.1390000581 Measured Time: 0.0000000000  
R:323 G:787 B:789 C:2098 cur_avg2089 prev_avg2091 read_idx1 Time:1.3079999685 Measured Time: 0.0000000000  
R:326 G:794 B:802 C:2117 cur_avg2090 prev_avg2089 read_idx2 Time:1.4780000686 Measured Time: 0.0000000000  
R:333 G:809 B:810 C:2157 cur_avg2095 prev_avg2090 read_idx3 Time:1.6469999313 Measured Time: 0.0000000000  
R:330 G:800 B:799 C:2131 cur_avg2097 prev_avg2095 read_idx4 Time:1.8159999847 Measured Time: 0.0000000000  
R:323 G:781 B:778 C:2080 cur_avg2099 prev_avg2097 read_idx5 Time:1.9850000381 Measured Time: 0.0000000000  
R:323 G:781 B:780 C:2081 cur_avg2099 prev_avg2099 read_idx6 Time:2.1540000438 Measured Time: 0.0000000000  
R:323 G:780 B:779 C:2079 cur_avg2099 prev_avg2099 read_idx7 Time:2.3229999542 Measured Time: 0.0000000000  
R:322 G:781 B:781 C:2082 cur_avg2099 prev_avg2099 read_idx8 Time:2.4930000305 Measured Time: 0.0000000000  
R:322 G:781 B:781 C:2081 cur_avg2098 prev_avg2099 read_idx9 Time:2.6619999408 Measured Time: 0.0000000000  
R:322 G:780 B:779 C:2078 cur_avg2097 prev_avg2098 read_idx10 Time:2.8310001373 Measured Time: 0.0000000000  
R:322 G:780 B:780 C:2080 cur_avg2096 prev_avg2097 read_idx0 Time:3.0009999275 Measured Time: 0.0000000000  
R:323 G:781 B:781 C:2081 cur_avg2095 prev_avg2096 read_idx1 Time:3.1700000762 Measured Time: 0.0000000000  
R:323 G:781 B:782 C:2082 cur_avg2092 prev_avg2095 read_idx2 Time:3.3389999866 Measured Time: 0.0000000000  
R:323 G:781 B:781 C:2081 cur_avg2085 prev_avg2092 read_idx3 Time:3.5090000629 Measured Time: 0.0000000000  
R:323 G:780 B:781 C:2080 cur_avg2080 prev_avg2085 read_idx4 Time:3.6770000457 Measured Time: 0.0000000000  
R:323 G:780 B:781 C:2080 cur_avg2080 prev_avg2080 read_idx5 Time:3.8459999084 Measured Time: 0.0000000000  
R:323 G:780 B:781 C:2080 cur_avg2080 prev_avg2080 read_idx6 Time:4.0149998664 Measured Time: 0.0000000000  
