
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx0 Time:8.6289997100 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx1 Time:8.7860002517 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx2 Time:8.9440002441 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx3 Time:9.1020002365 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx4 Time:9.2589998245 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx5 Time:9.4169998168 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx6 Time:9.5749998092 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx7 Time:9.7329998016 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx8 Time:9.8900003433 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx9 Time:10.0480003356 Measured Time: 0  
R:325 G:485 B:579 C:1515 cur_avg1515 prev_avg1515 read_idx10 Time:10.2069997787 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1515 read_idx0 Time:10.3660001754 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1514 read_idx1 Time:10.5249996185 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1514 read_idx2 Time:10.6840000152 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1514 read_idx3 Time:10.8430004119 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1514 read_idx4 Time:11.0010004043 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1514 read_idx5 Time:11.1599998474 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1514 prev_avg1514 read_idx6 Time:11.3190002441 Measured Time: 0  
R:325 G:484 B:579 C:1513 cur_avg1514 prev_avg1514 read_idx7 Time:11.4770002365 Measured Time: 0  
R:325 G:484 B:579 C:1513 cur_avg1514 prev_avg1514 read_idx8 Time:11.6359996795 Measured Time: 0  
R:325 G:485 B:579 C:1514 cur_avg1513 prev_avg1514 read_idx9 Time:11.7950000762 Measured Time: 0  
R:325 G:484 B:578 C:1513 cur_avg1513 prev_avg1513 read_idx10 Time:11.9540004730 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1513 prev_avg1513 read_idx0 Time:12.1129999160 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1513 prev_avg1513 read_idx1 Time:12.2720003128 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1513 prev_avg1513 read_idx2 Time:12.4309997558 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1513 prev_avg1513 read_idx3 Time:12.5900001525 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1512 prev_avg1513 read_idx4 Time:12.7480001449 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1512 prev_avg1512 read_idx5 Time:12.9069995880 Measured Time: 0  
R:325 G:484 B:578 C:1511 cur_avg1512 prev_avg1512 read_idx6 Time:13.0659999847 Measured Time: 0  
R:325 G:484 B:578 C:1512 cur_avg1512 prev_avg1512 read_idx7 Time:13.2239999771 Measured Time: 0  
R:325 G:484 B:578 C:1511 cur_avg1512 prev_avg1512 read_idx8 Time:13.3830003738 Measured Time: 0  
R:325 G:484 B:578 C:1511 cur_avg1511 prev_avg1512 read_idx9 Time:13.5419998168 Measured Time: 0  
R:324 G:483 B:577 C:1511 cur_avg1511 prev_avg1511 read_idx10 Time:13.7010002136 Measured Time: 0  
R:324 G:483 B:577 C:1511 cur_avg1511 prev_avg1511 read_idx0 Time:13.8599996566 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1511 prev_avg1511 read_idx1 Time:14.0190000534 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1511 prev_avg1511 read_idx2 Time:14.1780004501 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1511 prev_avg1511 read_idx3 Time:14.3360004425 Measured Time: 0  
R:324 G:483 B:577 C:1511 cur_avg1510 prev_avg1511 read_idx4 Time:14.4949998855 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx5 Time:14.6540002822 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx6 Time:14.8129997253 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx7 Time:14.9709997177 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx8 Time:15.1300001144 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx9 Time:15.2889995574 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx10 Time:15.4479999542 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx0 Time:15.6070003509 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx1 Time:15.7659997940 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx2 Time:15.9250001907 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx3 Time:16.0830001831 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1510 prev_avg1510 read_idx4 Time:16.2420005798 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1510 read_idx5 Time:16.4009990692 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1509 read_idx6 Time:16.5599994659 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1509 read_idx7 Time:16.7180004119 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1509 read_idx8 Time:16.8770008087 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1509 read_idx9 Time:17.0359992980 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1509 prev_avg1509 read_idx10 Time:17.1940002441 Measured Time: 0  
R:324 G:483 B:577 C:1510 cur_avg1509 prev_avg1509 read_idx0 Time:17.3540000915 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1509 read_idx1 Time:17.5130004882 Measured Time: 0  
R:324 G:483 B:576 C:1509 cur_avg1509 prev_avg1509 read_idx2 Time:17.6720008850 Measured Time: 0  
R:324 G:483 B:576 C:1508 cur_avg1509 prev_avg1509 read_idx3 Time:17.8299999237 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1509 prev_avg1509 read_idx4 Time:17.9890003204 Measured Time: 0  
R:324 G:483 B:576 C:1509 cur_avg1509 prev_avg1509 read_idx5 Time:18.1480007171 Measured Time: 0  
R:324 G:483 B:577 C:1509 cur_avg1509 prev_avg1509 read_idx6 Time:18.3069992065 Measured Time: 0  
R:324 G:483 B:576 C:1508 cur_avg1508 prev_avg1509 read_idx7 Time:18.4650001525 Measured Time: 0  
R:324 G:483 B:576 C:1509 cur_avg1508 prev_avg1508 read_idx8 Time:18.6240005493 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx9 Time:18.7830009460 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx10 Time:18.9409999847 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx0 Time:19.1009998321 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx1 Time:19.2600002288 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx2 Time:19.4190006256 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx3 Time:19.5769996643 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx4 Time:19.7360000610 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx5 Time:19.8950004577 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx6 Time:20.0529994964 Measured Time: 0  
R:324 G:482 B:576 C:1508 cur_avg1508 prev_avg1508 read_idx7 Time:20.2119998931 Measured Time: 0  
R:324 G:482 B:576 C:1507 cur_avg1507 prev_avg1508 read_idx8 Time:20.3710002899 Measured Time: 0  
R:324 G:482 B:576 C:1506 cur_avg1507 prev_avg1507 read_idx9 Time:20.5300006866 Measured Time: 0  
R:324 G:482 B:576 C:1507 cur_avg1507 prev_avg1507 read_idx10 Time:20.6879997253 Measured Time: 0  
R:324 G:482 B:576 C:1507 cur_avg1507 prev_avg1507 read_idx0 Time:20.8479995727 Measured Time: 0  
R:324 G:482 B:576 C:1507 cur_avg1507 prev_avg1507 read_idx1 Time:21.0069999694 Measured Time: 0  
R:324 G:482 B:575 C:1507 cur_avg1507 prev_avg1507 read_idx2 Time:21.1660003662 Measured Time: 0  
R:324 G:482 B:575 C:1506 cur_avg1507 prev_avg1507 read_idx3 Time:21.3239994049 Measured Time: 0  
R:324 G:482 B:575 C:1506 cur_avg1507 prev_avg1507 read_idx4 Time:21.4829998016 Measured Time: 0  
R:324 G:482 B:576 C:1507 cur_avg1506 prev_avg1507 read_idx5 Time:21.6420001983 Measured Time: 0  
R:324 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx6 Time:21.7999992370 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx7 Time:21.9589996337 Measured Time: 0  
R:324 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx8 Time:22.1180000305 Measured Time: 0  
R:324 G:482 B:575 C:1507 cur_avg1506 prev_avg1506 read_idx9 Time:22.2770004272 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx10 Time:22.4349994659 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx0 Time:22.5949993133 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx1 Time:22.7539997100 Measured Time: 0  
R:323 G:482 B:575 C:1506 cur_avg1506 prev_avg1506 read_idx2 Time:22.9120006561 Measured Time: 0  
