R:344 G:603 B:718 C:1821 cur_avg1717 prev_avg1708 read_idx2 Time:0.1240000009 Measured Time: 0.0000000000  
R:345 G:607 B:725 C:1832 cur_avg1728 prev_avg1717 read_idx3 Time:0.2930000114 Measured Time: 0.0000000000  
R:343 G:603 B:718 C:1820 cur_avg1738 prev_avg1728 read_idx4 Time:0.4619999885 Measured Time: 0.0000000000  
R:344 G:604 B:715 C:1820 cur_avg1748 prev_avg1738 read_idx5 Time:0.6309999942 Measured Time: 0.0000000000  
R:348 G:617 B:727 C:1854 cur_avg1761 prev_avg1748 read_idx6 Time:0.8000000000 Measured Time: 0.0000000000  
R:350 G:617 B:726 C:1858 cur_avg1776 prev_avg1761 read_idx7 Time:0.9700000762 Measured Time: 0.0000000000  
R:349 G:613 B:720 C:1845 cur_avg1789 prev_avg1776 read_idx8 Time:1.1390000581 Measured Time: 0.0000000000  
R:348 G:607 B:712 C:1828 cur_avg1799 prev_avg1789 read_idx9 Time:1.3079999685 Measured Time: 0.0000000000  
R:346 G:606 B:712 C:1824 cur_avg1810 prev_avg1799 read_idx10 Time:1.4769999980 Measured Time: 0.0000000000  
R:346 G:604 B:708 C:1818 cur_avg1820 prev_avg1810 read_idx0 Time:1.6469999313 Measured Time: 0.0000000000  
R:346 G:600 B:703 C:1808 cur_avg1829 prev_avg1820 read_idx1 Time:1.8159999847 Measured Time: 0.0000000000  
R:345 G:598 B:700 C:1801 cur_avg1828 prev_avg1829 read_idx2 Time:1.9850000381 Measured Time: 0.0000000000  
R:345 G:598 B:702 C:1804 cur_avg1825 prev_avg1828 read_idx3 Time:2.1549999713 Measured Time: 0.0000000000  
R:348 G:617 B:732 C:1861 cur_avg1829 prev_avg1825 read_idx4 Time:2.3239998817 Measured Time: 0.0000000000  
R:544 G:1126 B:1258 C:3219 cur_avg1956 prev_avg1829 read_idx5 Time:2.4930000305 Measured Time: 0.0000000000  
R:1863 G:3241 B:3383 C:9327 cur_avg2635 prev_avg1956 read_idx6 Time:2.6640000343 Measured Time: 0.0000000000  
R:345 G:598 B:702 C:1803 cur_avg2630 prev_avg2635 read_idx7 Time:2.8359999656 Measured Time: 0.0000000000  
R:344 G:595 B:697 C:1793 cur_avg2626 prev_avg2630 read_idx8 Time:3.0050001144 Measured Time: 0.0000000000  
R:344 G:596 B:700 C:1799 cur_avg2623 prev_avg2626 read_idx9 Time:3.1749999523 Measured Time: 0.0000000000  
