R:352 G:611 B:746 C:1869 cur_avg1917 prev_avg1927 read_idx1 Time:0.1240000009 Measured Time: 0.0000000000  
R:352 G:609 B:742 C:1862 cur_avg1906 prev_avg1917 read_idx2 Time:0.2930000114 Measured Time: 0.0000000000  
R:351 G:606 B:735 C:1850 cur_avg1893 prev_avg1906 read_idx3 Time:0.4619999885 Measured Time: 0.0000000000  
R:350 G:605 B:734 C:1847 cur_avg1879 prev_avg1893 read_idx4 Time:0.6309999942 Measured Time: 0.0000000000  
R:348 G:595 B:719 C:1820 cur_avg1873 prev_avg1879 read_idx5 Time:0.8000000000 Measured Time: 0.0000000000  
R:347 G:593 B:714 C:1812 cur_avg1865 prev_avg1873 read_idx6 Time:0.9689999580 Measured Time: 0.0000000000  
R:347 G:592 B:710 C:1807 cur_avg1858 prev_avg1865 read_idx7 Time:1.1390000581 Measured Time: 0.0000000000  
R:347 G:591 B:709 C:1806 cur_avg1850 prev_avg1858 read_idx8 Time:1.3079999685 Measured Time: 0.0000000000  
R:348 G:593 B:711 C:1811 cur_avg1842 prev_avg1850 read_idx9 Time:1.4769999980 Measured Time: 0.0000000000  
R:349 G:595 B:714 C:1817 cur_avg1835 prev_avg1842 read_idx10 Time:1.6460000038 Measured Time: 0.0000000000  
R:349 G:596 B:715 C:1820 cur_avg1829 prev_avg1835 read_idx0 Time:1.8159999847 Measured Time: 0.0000000000  
R:349 G:597 B:716 C:1823 cur_avg1825 prev_avg1829 read_idx1 Time:1.9850000381 Measured Time: 0.0000000000  
R:350 G:598 B:718 C:1826 cur_avg1821 prev_avg1825 read_idx2 Time:2.1540000438 Measured Time: 0.0000000000  
R:349 G:597 B:716 C:1823 cur_avg1819 prev_avg1821 read_idx3 Time:2.3239998817 Measured Time: 0.0000000000  
R:349 G:596 B:715 C:1820 cur_avg1816 prev_avg1819 read_idx4 Time:2.4930000305 Measured Time: 0.0000000000  
R:349 G:596 B:715 C:1820 cur_avg1816 prev_avg1816 read_idx5 Time:2.6619999408 Measured Time: 0.0000000000  
R:349 G:596 B:715 C:1821 cur_avg1817 prev_avg1816 read_idx6 Time:2.8310001373 Measured Time: 0.0000000000  
R:349 G:597 B:716 C:1822 cur_avg1819 prev_avg1817 read_idx7 Time:2.9990000724 Measured Time: 0.0000000000  
R:350 G:600 B:721 C:1832 cur_avg1821 prev_avg1819 read_idx8 Time:3.1679999828 Measured Time: 0.0000000000  
R:349 G:598 B:717 C:1825 cur_avg1822 prev_avg1821 read_idx9 Time:3.3380000591 Measured Time: 0.0000000000  
R:349 G:598 B:717 C:1824 cur_avg1823 prev_avg1822 read_idx10 Time:3.5069999694 Measured Time: 0.0000000000  
R:349 G:597 B:715 C:1822 cur_avg1823 prev_avg1823 read_idx0 Time:3.6770000457 Measured Time: 0.0000000000  
R:350 G:598 B:717 C:1825 cur_avg1823 prev_avg1823 read_idx1 Time:3.8459999084 Measured Time: 0.0000000000  
R:350 G:602 B:724 C:1838 cur_avg1824 prev_avg1823 read_idx2 Time:4.0149998664 Measured Time: 0.0000000000  
R:352 G:610 B:736 C:1861 cur_avg1828 prev_avg1824 read_idx3 Time:4.1840000152 Measured Time: 0.0000000000  
R:352 G:609 B:735 C:1859 cur_avg1831 prev_avg1828 read_idx4 Time:4.3540000915 Measured Time: 0.0000000000  
R:350 G:597 B:714 C:1820 cur_avg1831 prev_avg1831 read_idx5 Time:4.5229997634 Measured Time: 0.0000000000  
R:349 G:596 B:713 C:1818 cur_avg1831 prev_avg1831 read_idx6 Time:4.6919999122 Measured Time: 0.0000000000  
R:350 G:596 B:712 C:1817 cur_avg1831 prev_avg1831 read_idx7 Time:4.8610000610 Measured Time: 0.0000000000  
R:349 G:596 B:714 C:1820 cur_avg1829 prev_avg1831 read_idx8 Time:5.0300002098 Measured Time: 0.0000000000  
R:350 G:602 B:731 C:1838 cur_avg1831 prev_avg1829 read_idx9 Time:5.1989998817 Measured Time: 0.0000000000  
R:352 G:614 B:742 C:1873 cur_avg1835 prev_avg1831 read_idx10 Time:5.3680000305 Measured Time: 0.0000000000  
R:360 G:652 B:796 C:1981 cur_avg1850 prev_avg1835 read_idx0 Time:5.5390000343 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1855 cur_avg1852 prev_avg1850 read_idx1 Time:5.7080001831 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1854 prev_avg1852 read_idx2 Time:5.8769998550 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1853 prev_avg1854 read_idx3 Time:6.0460000038 Measured Time: 0.0000000000  
R:351 G:607 B:734 C:1854 cur_avg1853 prev_avg1853 read_idx4 Time:6.2150001525 Measured Time: 0.0000000000  
R:351 G:607 B:734 C:1854 cur_avg1856 prev_avg1853 read_idx5 Time:6.3839998245 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1859 prev_avg1856 read_idx6 Time:6.5539999008 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1863 prev_avg1859 read_idx7 Time:6.7230000495 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1866 prev_avg1863 read_idx8 Time:6.8920001983 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1868 prev_avg1866 read_idx9 Time:7.0609998703 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1866 prev_avg1868 read_idx10 Time:7.2300000190 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1866 read_idx0 Time:7.4000000953 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx1 Time:7.5700001716 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx2 Time:7.7389998435 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx3 Time:7.9079999923 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx4 Time:8.0760002136 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx5 Time:8.2449998855 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx6 Time:8.4139995574 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx7 Time:8.5830001831 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx8 Time:8.7530002593 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx9 Time:8.9219999313 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx10 Time:9.0909996032 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx0 Time:9.2609996795 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx1 Time:9.4300003051 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx2 Time:9.5989999771 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx3 Time:9.7690000534 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx4 Time:9.9379997253 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx5 Time:10.1070003509 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx6 Time:10.2770004272 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx7 Time:10.4469995498 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1857 cur_avg1855 prev_avg1855 read_idx8 Time:10.6169996261 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx9 Time:10.7880001068 Measured Time: 0.0000000000  
R:351 G:608 B:735 C:1856 cur_avg1855 prev_avg1855 read_idx10 Time:10.9580001831 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx0 Time:11.1289997100 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx1 Time:11.2989997863 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx2 Time:11.4689998626 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx3 Time:11.6400003433 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1855 cur_avg1855 prev_avg1855 read_idx4 Time:11.8100004196 Measured Time: 0.0000000000  
R:351 G:608 B:734 C:1856 cur_avg1855 prev_avg1855 read_idx5 Time:11.9799995422 Measured Time: 0.0000000000  
