R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx0 Time:8.6250000000 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1406 prev_avg1406 read_idx1 Time:8.7819995880 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx2 Time:8.9399995803 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx3 Time:9.0979995727 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1406 prev_avg1406 read_idx4 Time:9.2559995651 Measured Time: 0  
R:335 G:445 B:527 C:1408 cur_avg1406 prev_avg1406 read_idx5 Time:9.4130001068 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx6 Time:9.5710000991 Measured Time: 0  
R:335 G:444 B:526 C:1407 cur_avg1406 prev_avg1406 read_idx7 Time:9.7290000915 Measured Time: 0  
R:335 G:445 B:527 C:1408 cur_avg1406 prev_avg1406 read_idx8 Time:9.8859996795 Measured Time: 0  
R:335 G:445 B:527 C:1409 cur_avg1406 prev_avg1406 read_idx9 Time:10.0439996719 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1406 prev_avg1406 read_idx10 Time:10.2030000686 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1407 prev_avg1406 read_idx0 Time:10.3620004653 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1407 prev_avg1407 read_idx1 Time:10.5209999084 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1407 prev_avg1407 read_idx2 Time:10.6800003051 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1407 prev_avg1407 read_idx3 Time:10.8389997482 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1407 prev_avg1407 read_idx4 Time:10.9969997406 Measured Time: 0  
R:335 G:445 B:527 C:1409 cur_avg1407 prev_avg1407 read_idx5 Time:11.1560001373 Measured Time: 0  
R:335 G:444 B:526 C:1407 cur_avg1407 prev_avg1407 read_idx6 Time:11.3149995803 Measured Time: 0  
R:335 G:445 B:528 C:1409 cur_avg1407 prev_avg1407 read_idx7 Time:11.4729995727 Measured Time: 0  
R:335 G:445 B:527 C:1408 cur_avg1407 prev_avg1407 read_idx8 Time:11.6319999694 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1407 prev_avg1407 read_idx9 Time:11.7910003662 Measured Time: 0  
R:335 G:445 B:527 C:1407 cur_avg1407 prev_avg1407 read_idx10 Time:11.9499998092 Measured Time: 0  
R:335 G:445 B:526 C:1406 cur_avg1407 prev_avg1407 read_idx0 Time:12.1090002059 Measured Time: 0  
R:335 G:445 B:527 C:1408 cur_avg1407 prev_avg1407 read_idx1 Time:12.2679996490 Measured Time: 0  
R:335 G:444 B:526 C:1406 cur_avg1407 prev_avg1407 read_idx2 Time:12.4270000457 Measured Time: 0  
R:335 G:445 B:526 C:1407 cur_avg1407 prev_avg1407 read_idx3 Time:12.5860004425 Measured Time: 0  
