R,G,B,C,Time
447.0,801.0,893.0,2322.0,0.1570000076
447.0,801.0,895.0,2323.0,0.4760000228
424.0,798.0,880.0,2284.0,0.8
405.0,797.0,875.0,2260.0,1.1260000467
389.0,797.0,870.0,2239.0,1.4539999961
376.0,797.0,868.0,2226.0,1.7869999408
368.0,800.0,864.0,2217.0,2.125
362.0,802.0,861.0,2209.0,2.4649999141
358.0,805.0,859.0,2208.0,2.8090000152
357.0,809.0,859.0,2210.0,3.1549999713
355.0,817.0,860.0,2220.0,3.5060000419
355.0,824.0,863.0,2231.0,3.8590000152
355.0,830.0,865.0,2240.0,4.2119998931
356.0,835.0,867.0,2248.0,4.5659999847
357.0,842.0,869.0,2258.0,4.9210000038
357.0,844.0,869.0,2262.0,5.2779998779
358.0,847.0,869.0,2265.0,5.6310000419
358.0,848.0,869.0,2267.0,5.9840002059
359.0,849.0,868.0,2268.0,6.339000225
359.0,850.0,867.0,2269.0,6.6939997673
360.0,851.0,866.0,2269.0,7.0500001907
360.0,851.0,866.0,2269.0,7.4079999923
361.0,851.0,865.0,2268.0,7.7639999389
361.0,850.0,864.0,2267.0,8.1190004348
362.0,850.0,863.0,2267.0,8.4739999771
362.0,850.0,862.0,2267.0,8.829000473
363.0,850.0,862.0,2267.0,9.1829996109
363.0,850.0,861.0,2266.0,9.5369997024
364.0,850.0,860.0,2266.0,9.8889999389
364.0,850.0,860.0,2266.0,10.2419996261
365.0,850.0,859.0,2265.0,10.5959997177
365.0,850.0,859.0,2265.0,10.9510002136
366.0,849.0,858.0,2265.0,11.3079996109
367.0,849.0,857.0,2265.0,11.6639995574
367.0,849.0,857.0,2265.0,12.0209999084
368.0,849.0,857.0,2265.0,12.3780002593
368.0,849.0,856.0,2265.0,12.7329998016
369.0,849.0,856.0,2266.0,13.0900001525
370.0,849.0,856.0,2266.0,13.4460000991
370.0,849.0,855.0,2266.0,13.8009996414
370.0,849.0,855.0,2266.0,14.1560001373
371.0,849.0,855.0,2267.0,14.5109996795
372.0,849.0,854.0,2267.0,14.8660001754
372.0,849.0,854.0,2267.0,15.2229995727
373.0,849.0,854.0,2267.0,15.5769996643
373.0,849.0,853.0,2268.0,15.9320001602
374.0,850.0,853.0,2268.0,16.2880001068
375.0,850.0,853.0,2269.0,16.6420001983
375.0,850.0,853.0,2270.0,16.9960002899
376.0,850.0,853.0,2270.0,17.3509998321
377.0,850.0,853.0,2271.0,17.7049999237
377.0,850.0,852.0,2272.0,18.0580005645
378.0,850.0,852.0,2272.0,18.4130001068
379.0,850.0,852.0,2273.0,18.7670001983
380.0,851.0,852.0,2274.0,19.1210002899
380.0,851.0,852.0,2275.0,19.4750003814
381.0,851.0,852.0,2275.0,19.8299999237
381.0,851.0,852.0,2276.0,20.1840000152
382.0,851.0,851.0,2277.0,20.5370006561
383.0,851.0,851.0,2278.0,20.8920001983
384.0,852.0,851.0,2278.0,21.2460002899
384.0,852.0,851.0,2279.0,21.6000003814
385.0,852.0,851.0,2280.0,21.954000473
386.0,852.0,851.0,2281.0,22.3080005645
387.0,852.0,851.0,2282.0,22.6620006561
387.0,853.0,851.0,2283.0,23.0170001983
388.0,853.0,851.0,2284.0,23.3729991912
389.0,853.0,851.0,2285.0,23.7280006408
390.0,853.0,851.0,2286.0,24.0830001831
390.0,853.0,850.0,2287.0,24.4379997253
391.0,854.0,850.0,2288.0,24.7929992675
392.0,854.0,850.0,2289.0,25.1480007171
393.0,854.0,850.0,2290.0,25.50399971
394.0,854.0,850.0,2291.0,25.8579998016
395.0,855.0,850.0,2293.0,26.2129993438
395.0,855.0,850.0,2293.0,26.5690002441
396.0,855.0,850.0,2295.0,26.924999237
397.0,855.0,850.0,2296.0,27.2789993286
398.0,855.0,850.0,2297.0,27.6350002288
399.0,856.0,850.0,2298.0,27.9899997711
400.0,856.0,850.0,2299.0,28.3449993133
401.0,856.0,850.0,2300.0,28.7000007629
