R,G,B,C,Time
416.0,669.0,762.0,2021.0,0.1549999952
416.0,669.0,762.0,2020.0,0.4760000228
414.0,669.0,761.0,2018.0,0.7990000247
395.0,666.0,748.0,1984.0,1.125
380.0,664.0,736.0,1955.0,1.4529999732
374.0,663.0,732.0,1946.0,1.7829999923
373.0,664.0,733.0,1947.0,2.1180000305
372.0,667.0,735.0,1952.0,2.4579999446
372.0,670.0,738.0,1958.0,2.7999999523
372.0,672.0,740.0,1964.0,3.1459999084
372.0,674.0,741.0,1967.0,3.4949998855
373.0,675.0,741.0,1969.0,3.8480000495
373.0,675.0,742.0,1970.0,4.1999998092
373.0,676.0,742.0,1970.0,4.5529999732
373.0,676.0,742.0,1970.0,4.9070000648
373.0,676.0,741.0,1970.0,5.2620000839
373.0,676.0,741.0,1970.0,5.6160001754
373.0,676.0,741.0,1970.0,5.9689998626
373.0,676.0,741.0,1970.0,6.3229999542
373.0,676.0,741.0,1970.0,6.6770000457
373.0,676.0,741.0,1970.0,7.0310001373
373.0,676.0,741.0,1969.0,7.3860001564
373.0,675.0,741.0,1969.0,7.7389998435
373.0,675.0,740.0,1969.0,8.0920000076
373.0,675.0,740.0,1969.0,8.4460000991
374.0,675.0,740.0,1969.0,8.7980003356
374.0,675.0,740.0,1968.0,9.1510000228
374.0,675.0,740.0,1968.0,9.50399971
374.0,675.0,740.0,1968.0,9.8579998016
374.0,675.0,739.0,1968.0,10.2100000381
374.0,675.0,739.0,1968.0,10.567000389
374.0,675.0,739.0,1968.0,10.9239997863
374.0,675.0,739.0,1968.0,11.2810001373
374.0,675.0,739.0,1968.0,11.6359996795
374.0,675.0,739.0,1968.0,11.9919996261
374.0,675.0,739.0,1968.0,12.347000122
374.0,675.0,739.0,1968.0,12.7019996643
375.0,675.0,739.0,1968.0,13.0570001602
375.0,675.0,739.0,1968.0,13.4119997024
375.0,675.0,739.0,1968.0,13.7670001983
375.0,675.0,739.0,1968.0,14.1219997406
375.0,675.0,738.0,1968.0,14.4770002365
375.0,675.0,738.0,1968.0,14.8319997787
375.0,675.0,738.0,1968.0,15.1890001296
375.0,675.0,738.0,1968.0,15.5430002212
375.0,675.0,738.0,1968.0,15.8979997634
375.0,675.0,738.0,1967.0,16.25399971
375.0,675.0,738.0,1967.0,16.611000061
376.0,675.0,738.0,1968.0,16.9659996032
376.0,675.0,738.0,1968.0,17.3229999542
376.0,675.0,738.0,1968.0,17.6790008544
376.0,675.0,738.0,1968.0,18.0340003967
376.0,675.0,738.0,1968.0,18.3889999389
376.0,675.0,738.0,1968.0,18.7439994812
376.0,675.0,737.0,1968.0,19.1000003814
376.0,675.0,737.0,1968.0,19.4559993743
377.0,676.0,737.0,1968.0,19.8099994659
377.0,676.0,737.0,1968.0,20.1650009155
377.0,676.0,737.0,1968.0,20.5209999084
377.0,676.0,737.0,1969.0,20.875
377.0,676.0,737.0,1969.0,21.2299995422
377.0,676.0,737.0,1969.0,21.5849990844
377.0,676.0,737.0,1969.0,21.9409999847
378.0,676.0,737.0,1969.0,22.2950000762
378.0,676.0,737.0,1970.0,22.6499996185
378.0,676.0,737.0,1970.0,23.0069999694
378.0,676.0,737.0,1970.0,23.3619995117
378.0,676.0,737.0,1971.0,23.7150001525
