R,G,B,C,Time
465.0,667.0,781.0,2088.0,0.1560000038
463.0,667.0,781.0,2086.0,0.475
443.0,665.0,771.0,2054.0,0.8
414.0,660.0,751.0,2001.0,1.1260000467
390.0,657.0,734.0,1957.0,1.4529999732
383.0,657.0,728.0,1946.0,1.7840000152
382.0,659.0,729.0,1947.0,2.118999958
381.0,665.0,734.0,1958.0,2.4590001106
382.0,675.0,742.0,1980.0,2.8010001182
381.0,682.0,747.0,1993.0,3.1470000743
381.0,691.0,753.0,2010.0,3.4960000514
382.0,695.0,756.0,2017.0,3.8480000495
382.0,696.0,756.0,2018.0,4.2010002136
382.0,696.0,756.0,2018.0,4.5529999732
382.0,697.0,756.0,2019.0,4.9070000648
382.0,697.0,756.0,2019.0,5.2610001564
382.0,697.0,755.0,2018.0,5.6160001754
382.0,696.0,755.0,2018.0,5.9689998626
382.0,696.0,755.0,2017.0,6.3229999542
382.0,696.0,754.0,2017.0,6.6789999008
382.0,696.0,754.0,2017.0,7.0329999923
382.0,696.0,754.0,2016.0,7.3880000114
382.0,696.0,754.0,2016.0,7.7430000305
382.0,696.0,753.0,2015.0,8.0959997177
383.0,696.0,753.0,2015.0,8.4490003585
383.0,696.0,753.0,2015.0,8.8009996414
383.0,696.0,752.0,2015.0,9.156999588
383.0,696.0,752.0,2015.0,9.5109996795
383.0,696.0,752.0,2014.0,9.8649997711
383.0,696.0,751.0,2014.0,10.220000267
384.0,696.0,751.0,2014.0,10.5749998092
384.0,696.0,751.0,2014.0,10.9300003051
384.0,696.0,751.0,2014.0,11.2889995574
384.0,696.0,750.0,2014.0,11.6440000534
384.0,696.0,750.0,2014.0,12.0
385.0,696.0,750.0,2014.0,12.3570003509
385.0,696.0,750.0,2015.0,12.7119998931
385.0,696.0,750.0,2014.0,13.0659999847
385.0,696.0,749.0,2014.0,13.4219999313
385.0,697.0,749.0,2014.0,13.7770004272
386.0,697.0,749.0,2014.0,14.1319999694
386.0,697.0,749.0,2014.0,14.4870004653
386.0,697.0,748.0,2014.0,14.8420000076
386.0,697.0,748.0,2014.0,15.1979999542
387.0,697.0,748.0,2015.0,15.5530004501
387.0,697.0,748.0,2015.0,15.9079999923
387.0,697.0,748.0,2015.0,16.2630004882
388.0,698.0,748.0,2016.0,16.6189994812
388.0,698.0,748.0,2016.0,16.9729995727
388.0,698.0,747.0,2016.0,17.3279991149
388.0,698.0,747.0,2017.0,17.6840000152
389.0,698.0,747.0,2017.0,18.0380001068
389.0,698.0,747.0,2017.0,18.3910007476
389.0,698.0,747.0,2017.0,18.7450008392
390.0,698.0,747.0,2017.0,19.1009998321
390.0,699.0,746.0,2018.0,19.454000473
390.0,699.0,746.0,2018.0,19.8080005645
391.0,699.0,746.0,2018.0,20.1630001068
391.0,699.0,746.0,2019.0,20.5170001983
391.0,699.0,746.0,2019.0,20.8700008392
392.0,699.0,745.0,2019.0,21.2250003814
392.0,700.0,745.0,2020.0,21.579000473
393.0,700.0,745.0,2021.0,21.9330005645
393.0,700.0,745.0,2021.0,22.285999298
394.0,700.0,745.0,2022.0,22.6410007476
394.0,700.0,745.0,2022.0,22.9960002899
394.0,701.0,745.0,2023.0,23.3490009307
395.0,701.0,745.0,2024.0,23.704000473
396.0,701.0,745.0,2025.0,24.0580005645
396.0,701.0,744.0,2025.0,24.4120006561
397.0,702.0,744.0,2026.0,24.7660007476
397.0,702.0,744.0,2027.0,25.1200008392
398.0,702.0,744.0,2028.0,25.4740009307
399.0,703.0,744.0,2029.0,25.8279991149
399.0,703.0,744.0,2030.0,26.1819992065
400.0,703.0,744.0,2030.0,26.5370006561
400.0,703.0,744.0,2031.0,26.892999649
401.0,704.0,744.0,2033.0,27.2490005493
402.0,704.0,744.0,2034.0,27.6030006408
402.0,704.0,744.0,2035.0,27.9580001831
403.0,705.0,744.0,2036.0,28.313999176
404.0,705.0,744.0,2037.0,28.6690006256
405.0,706.0,744.0,2039.0,29.0230007171
406.0,706.0,744.0,2040.0,29.37899971
406.0,706.0,744.0,2041.0,29.7339992523
407.0,706.0,744.0,2042.0,30.0890007019
408.0,707.0,744.0,2044.0,30.4440002441
409.0,707.0,744.0,2045.0,30.799999237
410.0,708.0,744.0,2046.0,31.1550006866
411.0,708.0,744.0,2048.0,31.5109996795
412.0,709.0,743.0,2049.0,31.8649997711
413.0,709.0,744.0,2051.0,32.2200012207
414.0,709.0,743.0,2052.0,32.5760002136
415.0,710.0,744.0,2054.0,32.9300003051
416.0,710.0,743.0,2055.0,33.2849998474
417.0,711.0,744.0,2058.0,33.6409988403
418.0,711.0,744.0,2059.0,33.9959983825
419.0,711.0,744.0,2061.0,34.3499984741
421.0,712.0,744.0,2062.0,34.7070007324
422.0,712.0,744.0,2065.0,35.0620002746
423.0,713.0,744.0,2066.0,35.4169998168
424.0,713.0,744.0,2068.0,35.7719993591
426.0,714.0,744.0,2070.0,36.1269989013
427.0,714.0,744.0,2073.0,36.4819984436
429.0,715.0,744.0,2075.0,36.8380012512
430.0,715.0,744.0,2076.0,37.1920013427
431.0,716.0,744.0,2078.0,37.547000885
432.0,716.0,744.0,2080.0,37.9020004272
434.0,717.0,744.0,2083.0,38.2579994201
436.0,717.0,744.0,2085.0,38.6129989624
437.0,717.0,744.0,2087.0,38.9679985046
438.0,718.0,744.0,2089.0,39.3240013122
440.0,719.0,744.0,2092.0,39.6790008544
442.0,719.0,745.0,2094.0,40.033000946
443.0,720.0,745.0,2097.0,40.3889999389
445.0,720.0,745.0,2099.0,40.7439994812
446.0,721.0,745.0,2101.0,41.0989990234
448.0,721.0,745.0,2104.0,41.4539985656
450.0,722.0,745.0,2107.0,41.8089981079
451.0,722.0,745.0,2109.0,42.1640014648
453.0,722.0,745.0,2111.0,42.5209999084
455.0,723.0,745.0,2114.0,42.8759994506
457.0,724.0,745.0,2117.0,43.2319984436
459.0,724.0,746.0,2120.0,43.5890007019
460.0,725.0,746.0,2122.0,43.9449996948
463.0,725.0,746.0,2126.0,44.299999237
465.0,726.0,746.0,2128.0,44.6570014953
466.0,726.0,746.0,2131.0,45.0130004882
468.0,727.0,746.0,2133.0,45.3709983825
471.0,727.0,746.0,2137.0,45.7270011901
473.0,728.0,746.0,2140.0,46.0839996337
474.0,728.0,747.0,2143.0,46.4430007934
476.0,729.0,747.0,2145.0,46.799999237
479.0,730.0,747.0,2149.0,47.1559982299
481.0,730.0,747.0,2152.0,47.5139999389
483.0,731.0,747.0,2154.0,47.8709983825
485.0,731.0,747.0,2157.0,48.2280006408
487.0,731.0,747.0,2160.0,48.5859985351
489.0,732.0,748.0,2164.0,48.9420013427
491.0,733.0,748.0,2167.0,49.299999237
493.0,733.0,748.0,2169.0,49.6570014953
495.0,734.0,748.0,2172.0,50.0139999389
498.0,734.0,748.0,2176.0,50.3720016479
500.0,735.0,748.0,2179.0,50.7290000915
502.0,735.0,749.0,2182.0,51.0859985351
504.0,736.0,749.0,2185.0,51.4440002441
507.0,736.0,749.0,2189.0,51.8009986877
509.0,737.0,749.0,2192.0,52.158000946
511.0,737.0,749.0,2194.0,52.5149993896
513.0,738.0,749.0,2197.0,52.8720016479
516.0,738.0,750.0,2201.0,53.2299995422
518.0,739.0,750.0,2204.0,53.5859985351
520.0,739.0,750.0,2207.0,53.9430007934
522.0,740.0,750.0,2210.0,54.3019981384
525.0,740.0,750.0,2214.0,54.6590003967
527.0,741.0,750.0,2217.0,55.016998291
529.0,741.0,751.0,2219.0,55.3730010986
531.0,741.0,751.0,2222.0,55.7299995422
534.0,742.0,751.0,2226.0,56.0880012512
536.0,742.0,751.0,2229.0,56.4449996948
538.0,743.0,751.0,2231.0,56.8009986877
540.0,743.0,751.0,2234.0,57.1590003967
543.0,744.0,752.0,2238.0,57.5159988403
545.0,744.0,752.0,2241.0,57.8740005493
547.0,744.0,752.0,2243.0,58.2309989929
549.0,745.0,752.0,2246.0,58.5880012512
551.0,745.0,752.0,2248.0,58.9459991455
554.0,746.0,752.0,2252.0,59.3030014038
556.0,746.0,753.0,2255.0,59.6599998474
558.0,746.0,753.0,2257.0,60.016998291
559.0,747.0,753.0,2260.0,60.3740005493
562.0,747.0,753.0,2263.0,60.7319984436
564.0,747.0,753.0,2265.0,61.0890007019
566.0,747.0,753.0,2267.0,61.4449996948
567.0,748.0,753.0,2270.0,61.8030014038
570.0,748.0,754.0,2273.0,62.160999298
572.0,748.0,754.0,2275.0,62.5180015563
573.0,749.0,754.0,2277.0,62.8759994506
575.0,749.0,754.0,2279.0,63.2319984436
577.0,749.0,754.0,2282.0,63.5900001525
579.0,749.0,754.0,2284.0,63.9469985961
580.0,749.0,754.0,2286.0,64.3040008544
582.0,750.0,754.0,2288.0,64.6610031127
584.0,750.0,754.0,2290.0,65.016998291
585.0,750.0,755.0,2292.0,65.3740005493
587.0,750.0,755.0,2293.0,65.7310028076
588.0,750.0,755.0,2295.0,66.0879974365
590.0,750.0,755.0,2298.0,66.4430007934
591.0,750.0,755.0,2299.0,66.8000030517
592.0,751.0,755.0,2301.0,67.1559982299
593.0,751.0,755.0,2302.0,67.5120010375
595.0,751.0,755.0,2303.0,67.8679962158
596.0,751.0,755.0,2305.0,68.2239990234
597.0,751.0,755.0,2306.0,68.580001831
598.0,751.0,755.0,2307.0,68.9369964599
599.0,751.0,755.0,2308.0,69.2919998168
601.0,751.0,755.0,2309.0,69.6490020751
601.0,751.0,755.0,2310.0,70.0059967041
602.0,751.0,755.0,2311.0,70.3619995117
603.0,751.0,755.0,2312.0,70.7180023193
604.0,751.0,756.0,2313.0,71.0739974975
605.0,751.0,756.0,2314.0,71.4300003051
606.0,751.0,755.0,2314.0,71.7870025634
607.0,751.0,756.0,2315.0,72.141998291
607.0,750.0,755.0,2316.0,72.4980010986
608.0,750.0,756.0,2317.0,72.8550033569
609.0,750.0,756.0,2317.0,73.2109985351
609.0,750.0,755.0,2317.0,73.566001892
610.0,750.0,756.0,2318.0,73.924003601
611.0,750.0,756.0,2319.0,74.2799987792
611.0,750.0,756.0,2319.0,74.6360015869
612.0,750.0,755.0,2319.0,74.9929962158
612.0,750.0,755.0,2320.0,75.3479995727
613.0,750.0,756.0,2320.0,75.7040023803
613.0,749.0,755.0,2320.0,76.0609970092
614.0,749.0,756.0,2321.0,76.4169998168
614.0,749.0,755.0,2321.0,76.7720031738
615.0,749.0,756.0,2322.0,77.1289978027
615.0,749.0,755.0,2322.0,77.4850006103
615.0,749.0,755.0,2321.0,77.8430023193
615.0,749.0,755.0,2322.0,78.1979980468
616.0,749.0,755.0,2322.0,78.5540008544
616.0,749.0,755.0,2322.0,78.9110031127
617.0,749.0,755.0,2322.0,79.266998291
617.0,748.0,755.0,2323.0,79.6220016479
617.0,748.0,755.0,2323.0,79.9789962768
617.0,748.0,755.0,2322.0,80.3349990844
618.0,748.0,755.0,2323.0,80.691001892
618.0,748.0,755.0,2323.0,81.0469970703
618.0,748.0,755.0,2323.0,81.4029998779
618.0,748.0,755.0,2323.0,81.7600021362
618.0,748.0,755.0,2323.0,82.1169967651
618.0,748.0,755.0,2322.0,82.4729995727
618.0,748.0,755.0,2323.0,82.8280029296
618.0,747.0,755.0,2322.0,83.1849975585
618.0,747.0,755.0,2322.0,83.5410003662
618.0,747.0,755.0,2322.0,83.8970031738
618.0,747.0,755.0,2322.0,84.252998352
618.0,747.0,755.0,2322.0,84.6090011596
619.0,747.0,755.0,2322.0,84.9660034179
618.0,747.0,755.0,2321.0,85.3219985961
618.0,747.0,755.0,2321.0,85.6780014038
618.0,746.0,755.0,2321.0,86.0350036621
618.0,746.0,755.0,2321.0,86.3929977416
