R,G,B,C,Time
407.0,571.0,637.0,1756.0,0.1570000076
404.0,570.0,632.0,1751.0,0.4760000228
394.0,569.0,629.0,1735.0,0.8
388.0,568.0,626.0,1727.0,1.1260000467
382.0,568.0,624.0,1718.0,1.4539999961
379.0,567.0,621.0,1711.0,1.7840000152
375.0,566.0,616.0,1703.0,2.1170001029
374.0,567.0,615.0,1701.0,2.4539999961
373.0,566.0,613.0,1697.0,2.7960000038
372.0,566.0,613.0,1695.0,3.1400001049
372.0,566.0,612.0,1695.0,3.489000082
372.0,566.0,612.0,1695.0,3.8399999618
371.0,565.0,611.0,1692.0,4.1900000572
371.0,566.0,611.0,1693.0,4.5419998168
371.0,566.0,612.0,1694.0,4.8959999084
371.0,566.0,612.0,1694.0,5.2490000724
371.0,567.0,612.0,1696.0,5.6040000915
372.0,568.0,613.0,1698.0,5.9609999656
372.0,568.0,612.0,1697.0,6.3150000572
371.0,568.0,612.0,1697.0,6.6690001487
372.0,569.0,613.0,1698.0,7.0250000953
372.0,569.0,613.0,1700.0,7.3800001144
372.0,569.0,613.0,1699.0,7.7340002059
372.0,569.0,613.0,1699.0,8.0880002975
372.0,569.0,613.0,1699.0,8.442000389
372.0,569.0,613.0,1700.0,8.7959995269
372.0,570.0,613.0,1700.0,9.1499996185
372.0,570.0,613.0,1700.0,9.5030002593
372.0,570.0,613.0,1700.0,9.8559999465
373.0,570.0,613.0,1701.0,10.2089996337
373.0,570.0,613.0,1701.0,10.5640001296
373.0,570.0,613.0,1702.0,10.9169998168
373.0,571.0,613.0,1702.0,11.2720003128
373.0,570.0,613.0,1702.0,11.626999855
373.0,571.0,613.0,1702.0,11.9799995422
373.0,571.0,613.0,1702.0,12.3339996337
373.0,571.0,613.0,1702.0,12.6879997253
373.0,571.0,613.0,1702.0,13.0430002212
374.0,571.0,613.0,1702.0,13.3959999084
374.0,571.0,613.0,1703.0,13.75
374.0,571.0,613.0,1703.0,14.1049995422
374.0,571.0,613.0,1703.0,14.4580001831
374.0,571.0,613.0,1703.0,14.8120002746
374.0,571.0,613.0,1703.0,15.1680002212
374.0,571.0,613.0,1703.0,15.5220003128
374.0,571.0,613.0,1703.0,15.875
374.0,571.0,613.0,1703.0,16.2290000915
374.0,571.0,613.0,1703.0,16.5839996337
374.0,571.0,613.0,1703.0,16.9370002746
374.0,571.0,613.0,1703.0,17.2910003662
375.0,571.0,613.0,1704.0,17.6459999084
375.0,571.0,613.0,1704.0,18.0
375.0,571.0,613.0,1704.0,18.3530006408
375.0,571.0,613.0,1704.0,18.7070007324
375.0,571.0,613.0,1704.0,19.0629997253
375.0,571.0,613.0,1704.0,19.4160003662
375.0,572.0,613.0,1705.0,19.7700004577
375.0,572.0,613.0,1705.0,20.125
376.0,572.0,613.0,1705.0,20.4790000915
376.0,572.0,613.0,1705.0,20.8320007324
376.0,572.0,613.0,1705.0,21.1870002746
376.0,572.0,613.0,1705.0,21.5410003662
376.0,572.0,613.0,1705.0,21.8950004577
376.0,572.0,613.0,1705.0,22.2479991912
376.0,572.0,613.0,1705.0,22.6030006408
376.0,572.0,613.0,1705.0,22.9580001831
376.0,572.0,613.0,1705.0,23.3110008239
376.0,572.0,613.0,1705.0,23.6660003662
376.0,572.0,613.0,1706.0,24.0200004577
376.0,572.0,613.0,1706.0,24.3740005493
376.0,572.0,613.0,1706.0,24.7280006408
376.0,572.0,613.0,1706.0,25.0820007324
376.0,572.0,613.0,1706.0,25.4360008239
376.0,572.0,613.0,1706.0,25.7900009155
377.0,572.0,613.0,1706.0,26.1439990997
377.0,572.0,613.0,1706.0,26.4979991912
377.0,572.0,613.0,1706.0,26.8530006408
377.0,572.0,613.0,1706.0,27.2080001831
377.0,572.0,613.0,1707.0,27.5610008239
377.0,572.0,613.0,1707.0,27.9150009155
377.0,572.0,613.0,1707.0,28.2700004577
377.0,572.0,613.0,1707.0,28.6229991912
377.0,572.0,613.0,1707.0,28.9769992828
378.0,572.0,613.0,1707.0,29.3309993743
378.0,572.0,613.0,1708.0,29.6860008239
378.0,572.0,613.0,1708.0,30.0389995574
378.0,572.0,613.0,1708.0,30.392999649
378.0,572.0,613.0,1708.0,30.7490005493
378.0,573.0,613.0,1708.0,31.1030006408
378.0,573.0,613.0,1708.0,31.4559993743
378.0,573.0,613.0,1708.0,31.8110008239
378.0,573.0,613.0,1708.0,32.1650009155
378.0,573.0,613.0,1709.0,32.5180015563
379.0,573.0,613.0,1709.0,32.8720016479
379.0,573.0,613.0,1709.0,33.2270011901
379.0,573.0,613.0,1709.0,33.5810012817
379.0,573.0,613.0,1710.0,33.9339981079
379.0,573.0,613.0,1710.0,34.2890014648
379.0,573.0,613.0,1710.0,34.644001007
379.0,573.0,613.0,1710.0,34.9980010986
379.0,573.0,613.0,1710.0,35.3530006408
380.0,573.0,614.0,1711.0,35.7080001831
