R,G,B,C,Time
271.0,243.0,242.0,753.0,0.1549999952
271.0,243.0,242.0,753.0,0.4690000057
263.0,242.0,238.0,741.0,0.7880000114
250.0,240.0,228.0,718.0,1.1119999885
242.0,242.0,224.0,711.0,1.4359999656
236.0,241.0,220.0,700.0,1.7630000114
235.0,245.0,222.0,704.0,2.0929999351
232.0,242.0,218.0,695.0,2.4240000247
231.0,245.0,220.0,698.0,2.7560000419
231.0,247.0,222.0,704.0,3.0920000076
231.0,248.0,223.0,706.0,3.4300000667
231.0,248.0,223.0,706.0,3.7699999809
231.0,249.0,224.0,708.0,4.1100001335
231.0,248.0,223.0,706.0,4.4510002136
231.0,248.0,223.0,705.0,4.7899999618
231.0,248.0,222.0,705.0,5.1310000419
231.0,247.0,222.0,704.0,5.4689998626
231.0,247.0,222.0,703.0,5.8080000877
231.0,247.0,222.0,703.0,6.1459999084
231.0,247.0,222.0,703.0,6.4840002059
231.0,247.0,221.0,703.0,6.8210000991
231.0,247.0,221.0,703.0,7.1599998474
231.0,247.0,221.0,703.0,7.495999813
231.0,247.0,221.0,703.0,7.8340001106
231.0,247.0,221.0,703.0,8.1730003356
231.0,247.0,221.0,702.0,8.5120000839
231.0,247.0,221.0,702.0,8.8500003814
231.0,247.0,221.0,702.0,9.1899995803
231.0,247.0,220.0,701.0,9.5279998779
231.0,247.0,220.0,701.0,9.8669996261
232.0,247.0,220.0,702.0,10.206000328
232.0,247.0,220.0,702.0,10.5439996719
232.0,247.0,220.0,701.0,10.8839998245
232.0,247.0,220.0,701.0,11.222000122
232.0,247.0,220.0,701.0,11.5640001296
232.0,247.0,220.0,701.0,11.9040002822
232.0,247.0,220.0,701.0,12.2449998855
232.0,247.0,220.0,701.0,12.5850000381
232.0,247.0,219.0,701.0,12.9250001907
232.0,247.0,219.0,701.0,13.2639999389
232.0,247.0,219.0,701.0,13.6040000915
232.0,247.0,219.0,701.0,13.9429998397
232.0,247.0,219.0,701.0,14.2829999923
232.0,247.0,219.0,701.0,14.6219997406
233.0,247.0,219.0,701.0,14.9619998931
233.0,247.0,219.0,701.0,15.3009996414
233.0,247.0,219.0,701.0,15.640999794
233.0,247.0,219.0,701.0,15.9799995422
233.0,247.0,219.0,701.0,16.3199996948
233.0,247.0,219.0,701.0,16.6590003967
233.0,247.0,219.0,701.0,16.9990005493
233.0,247.0,219.0,701.0,17.3379993438
233.0,247.0,218.0,701.0,17.6779994964
233.0,247.0,218.0,701.0,18.0170001983
234.0,247.0,218.0,701.0,18.3579998016
234.0,247.0,218.0,702.0,18.6970005035
234.0,247.0,218.0,702.0,19.0370006561
234.0,247.0,218.0,702.0,19.3759994506
234.0,247.0,218.0,702.0,19.7159996032
234.0,247.0,218.0,702.0,20.0550003051
234.0,248.0,218.0,702.0,20.3950004577
234.0,248.0,218.0,702.0,20.7339992523
235.0,248.0,218.0,703.0,21.0739994049
235.0,248.0,218.0,703.0,21.4130001068
235.0,248.0,218.0,703.0,21.7520008087
235.0,248.0,218.0,703.0,22.0909996032
