R,G,B,C,Time
435.0,705.0,734.0,2048.0,47.1800003051
436.0,705.0,734.0,2049.0,47.5340003967
437.0,706.0,734.0,2051.0,47.8899993896
438.0,706.0,734.0,2052.0,48.2449989318
439.0,706.0,734.0,2053.0,48.5999984741
440.0,706.0,734.0,2054.0,48.955001831
441.0,707.0,734.0,2055.0,49.3100013732
442.0,707.0,734.0,2057.0,49.6650009155
443.0,707.0,734.0,2058.0,50.0209999084
444.0,707.0,734.0,2060.0,50.3759994506
445.0,707.0,734.0,2061.0,50.7309989929
446.0,708.0,735.0,2063.0,51.0870018005
447.0,708.0,735.0,2064.0,51.4420013427
448.0,708.0,735.0,2066.0,51.7960014343
449.0,708.0,735.0,2067.0,52.1520004272
450.0,709.0,735.0,2068.0,52.5069999694
451.0,709.0,735.0,2070.0,52.8619995117
452.0,709.0,735.0,2072.0,53.2169990539
453.0,710.0,735.0,2073.0,53.5719985961
454.0,710.0,735.0,2074.0,53.9269981384
456.0,710.0,735.0,2076.0,54.2840003967
457.0,710.0,735.0,2078.0,54.6380004882
458.0,710.0,735.0,2079.0,54.9930000305
459.0,711.0,735.0,2080.0,55.3489990234
460.0,711.0,735.0,2082.0,55.7039985656
461.0,711.0,735.0,2084.0,56.0579986572
462.0,711.0,735.0,2085.0,56.4129981994
463.0,712.0,735.0,2086.0,56.769001007
464.0,712.0,735.0,2088.0,57.1230010986
466.0,712.0,735.0,2090.0,57.4780006408
467.0,712.0,735.0,2091.0,57.8339996337
468.0,713.0,736.0,2093.0,58.1899986267
469.0,713.0,736.0,2094.0,58.5439987182
470.0,713.0,736.0,2096.0,58.9000015258
471.0,713.0,736.0,2097.0,59.2550010681
472.0,714.0,736.0,2099.0,59.6100006103
473.0,714.0,736.0,2101.0,59.9650001525
475.0,714.0,736.0,2103.0,60.3199996948
476.0,714.0,736.0,2104.0,60.6759986877
477.0,715.0,736.0,2105.0,61.033000946
478.0,715.0,736.0,2107.0,61.3880004882
479.0,715.0,736.0,2108.0,61.7439994812
481.0,715.0,736.0,2110.0,62.1020011901
482.0,716.0,736.0,2112.0,62.4580001831
483.0,716.0,736.0,2113.0,62.8129997253
484.0,716.0,736.0,2115.0,63.1699981689
486.0,717.0,737.0,2117.0,63.5260009765
487.0,717.0,737.0,2119.0,63.8829994201
488.0,717.0,737.0,2120.0,64.238998413
489.0,717.0,737.0,2122.0,64.59400177
491.0,718.0,737.0,2124.0,64.9509963989
492.0,718.0,737.0,2126.0,65.3069992065
493.0,718.0,737.0,2127.0,65.6630020141
494.0,718.0,737.0,2128.0,66.019996643
496.0,719.0,737.0,2131.0,66.3759994506
497.0,719.0,737.0,2133.0,66.7320022583
498.0,719.0,737.0,2134.0,67.0889968872
499.0,719.0,737.0,2136.0,67.4440002441
500.0,720.0,737.0,2137.0,67.8000030517
502.0,720.0,738.0,2139.0,68.1569976806
503.0,720.0,738.0,2141.0,68.5130004882
504.0,720.0,738.0,2142.0,68.8679962158
505.0,720.0,738.0,2143.0,69.2249984741
507.0,721.0,738.0,2146.0,69.5810012817
508.0,721.0,738.0,2147.0,69.93800354
509.0,721.0,738.0,2149.0,70.2939987182
510.0,721.0,738.0,2150.0,70.6500015258
512.0,722.0,738.0,2152.0,71.0070037841
513.0,722.0,738.0,2154.0,71.3629989624
514.0,722.0,738.0,2156.0,71.7180023193
515.0,722.0,738.0,2157.0,72.0749969482
517.0,723.0,739.0,2159.0,72.4309997558
518.0,723.0,739.0,2161.0,72.7870025634
519.0,723.0,739.0,2162.0,73.1429977416
520.0,723.0,739.0,2164.0,73.4990005493
521.0,724.0,739.0,2165.0,73.8560028076
523.0,724.0,739.0,2167.0,74.2129974365
524.0,724.0,739.0,2169.0,74.5680007934
525.0,724.0,739.0,2170.0,74.924003601
526.0,724.0,739.0,2172.0,75.2809982299
528.0,725.0,739.0,2174.0,75.6370010375
