R,G,B,C,Time
527.0,817.0,910.0,2471.0,0.1560000038
528.0,817.0,908.0,2474.0,0.4760000228
502.0,814.0,901.0,2437.0,0.7990000247
485.0,811.0,891.0,2406.0,1.1260000467
475.0,808.0,884.0,2386.0,1.4539999961
471.0,807.0,881.0,2379.0,1.7869999408
468.0,806.0,880.0,2375.0,2.125
467.0,808.0,881.0,2377.0,2.4649999141
466.0,811.0,884.0,2382.0,2.8090000152
466.0,814.0,886.0,2389.0,3.1549999713
466.0,819.0,889.0,2396.0,3.5060000419
466.0,821.0,891.0,2400.0,3.8590000152
466.0,821.0,891.0,2401.0,4.2109999656
466.0,822.0,891.0,2402.0,4.5659999847
466.0,822.0,891.0,2403.0,4.9210000038
466.0,822.0,891.0,2402.0,5.2760000228
466.0,822.0,891.0,2402.0,5.6300001144
466.0,822.0,891.0,2402.0,5.9829998016
466.0,821.0,891.0,2401.0,6.3359999656
466.0,821.0,891.0,2401.0,6.6900000572
467.0,821.0,890.0,2400.0,7.0440001487
467.0,821.0,890.0,2400.0,7.3979997634
467.0,821.0,890.0,2400.0,7.7509999275
467.0,821.0,890.0,2400.0,8.1049995422
467.0,821.0,890.0,2400.0,8.4569997787
467.0,821.0,890.0,2400.0,8.8100004196
467.0,821.0,889.0,2400.0,9.1660003662
467.0,821.0,889.0,2400.0,9.5200004577
467.0,821.0,889.0,2399.0,9.8730001449
467.0,821.0,889.0,2399.0,10.2270002365
468.0,821.0,889.0,2399.0,10.5850000381
468.0,821.0,889.0,2399.0,10.9409999847
468.0,821.0,889.0,2399.0,11.2980003356
468.0,821.0,889.0,2399.0,11.6540002822
468.0,821.0,888.0,2399.0,12.0089998245
468.0,821.0,888.0,2399.0,12.3649997711
468.0,820.0,888.0,2399.0,12.7189998626
468.0,820.0,888.0,2399.0,13.0740003585
469.0,821.0,888.0,2399.0,13.4300003051
469.0,821.0,888.0,2399.0,13.7840003967
469.0,821.0,888.0,2399.0,14.1389999389
469.0,820.0,888.0,2399.0,14.4940004348
469.0,820.0,888.0,2399.0,14.8500003814
469.0,820.0,887.0,2399.0,15.2049999237
469.0,821.0,887.0,2399.0,15.5600004196
470.0,821.0,888.0,2400.0,15.9160003662
470.0,821.0,887.0,2399.0,16.2709999084
470.0,821.0,887.0,2399.0,16.625
470.0,821.0,887.0,2400.0,16.9810009002
470.0,821.0,887.0,2400.0,17.3360004425
470.0,821.0,887.0,2400.0,17.690000534
471.0,821.0,887.0,2400.0,18.0459995269
471.0,821.0,887.0,2400.0,18.4009990692
471.0,821.0,887.0,2400.0,18.7560005187
471.0,821.0,887.0,2400.0,19.1119995117
471.0,821.0,887.0,2400.0,19.4669990539
471.0,821.0,887.0,2400.0,19.8220005035
471.0,821.0,887.0,2400.0,20.1779994964
472.0,821.0,887.0,2400.0,20.531999588
472.0,821.0,887.0,2401.0,20.8859996795
472.0,821.0,887.0,2401.0,21.2409992218
472.0,821.0,887.0,2401.0,21.5949993133
472.0,821.0,886.0,2402.0,21.9479999542
473.0,821.0,886.0,2402.0,22.3020000457
473.0,821.0,886.0,2402.0,22.656999588
473.0,821.0,886.0,2402.0,23.0109996795
473.0,822.0,886.0,2403.0,23.3649997711
474.0,822.0,886.0,2403.0,23.7199993133
474.0,822.0,886.0,2403.0,24.0739994049
474.0,822.0,886.0,2403.0,24.4270000457
474.0,822.0,886.0,2403.0,24.781999588
475.0,822.0,886.0,2404.0,25.1359996795
475.0,822.0,886.0,2404.0,25.4899997711
475.0,822.0,886.0,2405.0,25.8430004119
475.0,822.0,886.0,2405.0,26.1979999542
475.0,822.0,886.0,2405.0,26.5520000457
476.0,822.0,886.0,2405.0,26.9060001373
476.0,822.0,886.0,2406.0,27.2609996795
476.0,823.0,886.0,2407.0,27.6149997711
477.0,823.0,886.0,2407.0,27.9689998626
477.0,823.0,886.0,2407.0,28.3229999542
477.0,823.0,886.0,2408.0,28.6770000457
477.0,823.0,886.0,2408.0,29.0310001373
478.0,823.0,886.0,2408.0,29.3850002288
478.0,823.0,886.0,2409.0,29.7390003204
478.0,823.0,886.0,2409.0,30.0930004119
479.0,823.0,886.0,2409.0,30.4470005035
479.0,823.0,886.0,2410.0,30.8020000457
479.0,823.0,886.0,2410.0,31.1560001373
480.0,824.0,886.0,2411.0,31.5100002288
480.0,824.0,886.0,2411.0,31.8649997711
480.0,824.0,886.0,2412.0,32.2179985046
481.0,824.0,886.0,2412.0,32.5719985961
481.0,824.0,886.0,2413.0,32.9259986877
481.0,824.0,886.0,2413.0,33.2820014953
482.0,824.0,886.0,2414.0,33.6360015869
482.0,824.0,886.0,2414.0,33.9910011291
482.0,824.0,886.0,2415.0,34.347000122
483.0,824.0,886.0,2415.0,34.7019996643
483.0,825.0,886.0,2416.0,35.0569992065
484.0,825.0,886.0,2416.0,35.4129981994
484.0,825.0,886.0,2417.0,35.7680015563
485.0,825.0,886.0,2418.0,36.1220016479
485.0,825.0,886.0,2418.0,36.4780006408
486.0,825.0,886.0,2419.0,36.8330001831
486.0,826.0,886.0,2420.0,37.1879997253
486.0,826.0,886.0,2420.0,37.5429992675
487.0,826.0,886.0,2421.0,37.8979988098
487.0,826.0,886.0,2422.0,38.252998352
488.0,826.0,886.0,2423.0,38.6100006103
488.0,826.0,886.0,2423.0,38.9640007019
489.0,827.0,886.0,2424.0,39.3190002441
489.0,827.0,886.0,2425.0,39.674999237
490.0,827.0,886.0,2426.0,40.0299987792
491.0,827.0,886.0,2427.0,40.3839988708
491.0,827.0,886.0,2427.0,40.7400016784
491.0,827.0,886.0,2428.0,41.0950012207
492.0,827.0,886.0,2428.0,41.4500007629
493.0,827.0,886.0,2429.0,41.8050003051
493.0,828.0,886.0,2430.0,42.1599998474
494.0,828.0,886.0,2431.0,42.5159988403
495.0,828.0,887.0,2432.0,42.8720016479
495.0,828.0,887.0,2433.0,43.2260017395
496.0,828.0,887.0,2434.0,43.5810012817
496.0,828.0,887.0,2434.0,43.9370002746
497.0,829.0,887.0,2435.0,44.2919998168
498.0,829.0,887.0,2436.0,44.6459999084
498.0,829.0,887.0,2437.0,45.0009994506
499.0,829.0,887.0,2438.0,45.3569984436
500.0,829.0,887.0,2439.0,45.7120018005
500.0,829.0,887.0,2440.0,46.066001892
501.0,829.0,887.0,2440.0,46.4230003356
501.0,829.0,887.0,2441.0,46.7779998779
502.0,830.0,887.0,2442.0,47.1329994201
503.0,830.0,887.0,2443.0,47.4879989624
504.0,830.0,887.0,2445.0,47.8429985046
505.0,830.0,887.0,2446.0,48.1980018615
505.0,830.0,887.0,2446.0,48.5540008544
505.0,830.0,886.0,2445.0,48.908000946
506.0,830.0,886.0,2445.0,49.2630004882
506.0,830.0,886.0,2446.0,49.6189994812
507.0,830.0,886.0,2447.0,49.9739990234
508.0,830.0,886.0,2447.0,50.3289985656
508.0,830.0,885.0,2447.0,50.6850013732
510.0,830.0,885.0,2449.0,51.0400009155
510.0,830.0,885.0,2449.0,51.394001007
511.0,830.0,886.0,2451.0,51.75
512.0,830.0,886.0,2452.0,52.1049995422
513.0,830.0,885.0,2453.0,52.4599990844
514.0,831.0,886.0,2455.0,52.8149986267
515.0,831.0,886.0,2456.0,53.1699981689
515.0,831.0,886.0,2456.0,53.5250015258
517.0,831.0,886.0,2459.0,53.8810005187
517.0,831.0,886.0,2459.0,54.236000061
518.0,831.0,886.0,2460.0,54.5909996032
519.0,831.0,886.0,2460.0,54.9469985961
520.0,832.0,886.0,2462.0,55.3019981384
521.0,832.0,886.0,2464.0,55.6559982299
522.0,832.0,886.0,2465.0,56.0120010375
523.0,832.0,886.0,2466.0,56.3670005798
524.0,832.0,886.0,2468.0,56.722000122
525.0,833.0,886.0,2470.0,57.0760002136
526.0,833.0,887.0,2471.0,57.4319992065
527.0,833.0,887.0,2472.0,57.7869987487
528.0,833.0,887.0,2473.0,58.1430015563
530.0,834.0,887.0,2476.0,58.4980010986
531.0,834.0,887.0,2477.0,58.8530006408
532.0,834.0,887.0,2478.0,59.2080001831
533.0,834.0,887.0,2480.0,59.563999176
534.0,835.0,887.0,2481.0,59.9179992675
535.0,835.0,887.0,2483.0,60.2729988098
536.0,835.0,888.0,2485.0,60.6290016174
537.0,835.0,888.0,2486.0,60.9840011596
538.0,835.0,888.0,2487.0,61.3380012512
540.0,835.0,888.0,2489.0,61.6940002441
541.0,835.0,888.0,2490.0,62.049999237
542.0,836.0,888.0,2492.0,62.4049987792
543.0,836.0,888.0,2493.0,62.7599983215
544.0,836.0,888.0,2494.0,63.1150016784
545.0,836.0,888.0,2496.0,63.4700012207
546.0,836.0,888.0,2497.0,63.8260002136
547.0,836.0,888.0,2498.0,64.1800003051
548.0,836.0,888.0,2500.0,64.5350036621
550.0,837.0,888.0,2502.0,64.8909988403
551.0,837.0,888.0,2503.0,65.2460021972
552.0,837.0,888.0,2504.0,65.5999984741
553.0,837.0,888.0,2505.0,65.9570007324
555.0,837.0,888.0,2507.0,66.3119964599
556.0,837.0,888.0,2509.0,66.6669998168
557.0,837.0,888.0,2510.0,67.0230026245
558.0,838.0,888.0,2511.0,67.3789978027
560.0,838.0,888.0,2514.0,67.7350006103
561.0,838.0,889.0,2515.0,68.0920028686
562.0,838.0,889.0,2517.0,68.4469985961
563.0,838.0,888.0,2518.0,68.8030014038
564.0,838.0,889.0,2519.0,69.1600036621
566.0,838.0,889.0,2521.0,69.5159988403
567.0,839.0,889.0,2522.0,69.8720016479
568.0,839.0,889.0,2523.0,70.2289962768
569.0,839.0,889.0,2525.0,70.5849990844
571.0,839.0,889.0,2527.0,70.941001892
572.0,839.0,889.0,2528.0,71.2969970703
573.0,839.0,889.0,2530.0,71.6529998779
574.0,839.0,889.0,2531.0,72.0090026855
576.0,839.0,889.0,2533.0,72.3659973144
577.0,840.0,889.0,2534.0,72.7210006713
578.0,840.0,889.0,2535.0,73.0780029296
579.0,840.0,889.0,2536.0,73.4339981079
580.0,840.0,889.0,2538.0,73.7910003662
582.0,840.0,889.0,2539.0,74.1470031738
583.0,840.0,889.0,2540.0,74.502998352
584.0,840.0,889.0,2542.0,74.8590011596
585.0,840.0,889.0,2543.0,75.2160034179
586.0,840.0,889.0,2544.0,75.5719985961
587.0,840.0,889.0,2546.0,75.9270019531
588.0,840.0,889.0,2547.0,76.283996582
589.0,840.0,889.0,2548.0,76.6399993896
590.0,841.0,889.0,2549.0,76.9960021972
591.0,841.0,889.0,2550.0,77.3519973754
592.0,840.0,889.0,2551.0,77.7089996337
593.0,840.0,889.0,2552.0,78.0650024414
594.0,841.0,889.0,2553.0,78.4219970703
595.0,841.0,889.0,2555.0,78.7770004272
596.0,841.0,889.0,2556.0,79.1330032348
597.0,841.0,889.0,2556.0,79.4899978637
598.0,841.0,889.0,2558.0,79.8460006713
599.0,841.0,889.0,2559.0,80.2009963989
600.0,841.0,889.0,2559.0,80.5579986572
601.0,841.0,889.0,2560.0,80.9140014648
602.0,841.0,889.0,2561.0,81.2710037231
603.0,841.0,889.0,2562.0,81.6269989013
603.0,841.0,889.0,2563.0,81.9830017089
604.0,841.0,889.0,2564.0,82.3399963378
605.0,841.0,889.0,2564.0,82.6959991455
606.0,841.0,889.0,2566.0,83.0510025024
606.0,840.0,889.0,2566.0,83.4079971313
606.0,840.0,889.0,2566.0,83.7639999389
606.0,840.0,889.0,2565.0,84.1200027465
607.0,840.0,888.0,2566.0,84.4759979248
608.0,840.0,888.0,2567.0,84.8320007324
609.0,840.0,888.0,2567.0,85.18800354
609.0,840.0,888.0,2568.0,85.5459976196
611.0,840.0,889.0,2570.0,85.9020004272
612.0,840.0,889.0,2571.0,86.2570037841
613.0,840.0,889.0,2571.0,86.613998413
614.0,840.0,889.0,2572.0,86.9700012207
614.0,840.0,888.0,2572.0,87.3259963989
615.0,840.0,888.0,2573.0,87.6819992065
615.0,840.0,888.0,2573.0,88.0380020141
616.0,840.0,888.0,2574.0,88.3939971923
616.0,840.0,888.0,2574.0,88.7509994506
617.0,840.0,888.0,2574.0,89.1060028076
617.0,839.0,888.0,2575.0,89.4639968872
618.0,839.0,888.0,2575.0,89.8199996948
618.0,839.0,888.0,2575.0,90.1760025024
619.0,839.0,888.0,2575.0,90.5319976806
619.0,839.0,888.0,2576.0,90.8880004882
619.0,839.0,888.0,2576.0,91.2440032958
620.0,839.0,888.0,2576.0,91.6009979248
620.0,839.0,888.0,2576.0,91.9560012817
620.0,839.0,887.0,2576.0,92.3119964599
621.0,839.0,887.0,2576.0,92.6689987182
621.0,838.0,887.0,2576.0,93.0250015258
621.0,838.0,887.0,2576.0,93.3809967041
621.0,838.0,887.0,2576.0,93.7379989624
622.0,838.0,887.0,2576.0,94.09400177
622.0,838.0,887.0,2576.0,94.4499969482
622.0,838.0,887.0,2576.0,94.8069992065
622.0,838.0,887.0,2576.0,95.1620025634
622.0,837.0,887.0,2576.0,95.5179977416
622.0,837.0,887.0,2575.0,95.875
622.0,837.0,886.0,2575.0,96.2330017089
622.0,837.0,886.0,2574.0,96.5899963378
