R,G,B,C,Time
262.0,180.0,211.0,647.0,0.1560000038
262.0,180.0,211.0,647.0,0.4699999809
262.0,180.0,211.0,647.0,0.7900000095
277.0,184.0,227.0,685.0,1.1119999885
257.0,181.0,217.0,654.0,1.4370000362
224.0,178.0,191.0,601.0,1.7640000343
196.0,177.0,180.0,551.0,2.0929999351
187.0,180.0,174.0,540.0,2.4240000247
184.0,187.0,177.0,548.0,2.757999897
183.0,197.0,183.0,565.0,3.0929999351
183.0,206.0,189.0,582.0,3.4300000667
184.0,215.0,194.0,599.0,3.7699999809
184.0,223.0,199.0,613.0,4.1100001335
185.0,228.0,201.0,622.0,4.4499998092
185.0,231.0,203.0,628.0,4.7890000343
185.0,234.0,204.0,633.0,5.1300001144
186.0,234.0,204.0,634.0,5.4699997901
186.0,235.0,204.0,634.0,5.8090000152
186.0,235.0,204.0,634.0,6.1459999084
186.0,235.0,203.0,633.0,6.4869999885
187.0,234.0,203.0,633.0,6.8280000686
187.0,234.0,202.0,632.0,7.1690001487
187.0,234.0,202.0,632.0,7.5089998245
187.0,234.0,201.0,631.0,7.8480000495
188.0,234.0,201.0,631.0,8.1879997253
188.0,234.0,200.0,630.0,8.5260000228
188.0,233.0,200.0,630.0,8.8640003204
188.0,233.0,199.0,630.0,9.2010002136
189.0,233.0,199.0,629.0,9.5399999618
189.0,233.0,198.0,629.0,9.8780002593
189.0,233.0,198.0,629.0,10.2189998626
190.0,233.0,198.0,629.0,10.5590000152
190.0,233.0,197.0,629.0,10.9010000228
190.0,233.0,197.0,629.0,11.2419996261
191.0,233.0,197.0,629.0,11.5830001831
191.0,233.0,196.0,628.0,11.9219999313
191.0,233.0,196.0,628.0,12.2629995346
192.0,233.0,195.0,628.0,12.6020002365
192.0,232.0,195.0,627.0,12.9440002441
192.0,232.0,195.0,627.0,13.2849998474
193.0,232.0,194.0,627.0,13.625
193.0,232.0,194.0,627.0,13.9659996032
193.0,232.0,194.0,628.0,14.3050003051
194.0,232.0,193.0,628.0,14.6479997634
194.0,232.0,193.0,628.0,14.987999916
195.0,232.0,193.0,628.0,15.329000473
195.0,233.0,193.0,628.0,15.6689996719
195.0,233.0,192.0,628.0,16.0090007781
196.0,233.0,192.0,628.0,16.3479995727
196.0,233.0,192.0,628.0,16.6879997253
196.0,233.0,192.0,629.0,17.0270004272
197.0,233.0,191.0,629.0,17.3670005798
197.0,233.0,191.0,629.0,17.7059993743
198.0,233.0,191.0,630.0,18.0459995269
198.0,233.0,191.0,630.0,18.3859996795
199.0,233.0,191.0,630.0,18.7259998321
199.0,233.0,191.0,631.0,19.065000534
200.0,233.0,190.0,631.0,19.4050006866
200.0,234.0,190.0,632.0,19.7439994812
200.0,234.0,190.0,632.0,20.0839996337
201.0,234.0,190.0,633.0,20.4230003356
202.0,234.0,190.0,633.0,20.7630004882
202.0,234.0,189.0,634.0,21.1019992828
202.0,234.0,189.0,634.0,21.4409999847
203.0,234.0,189.0,635.0,21.7779998779
203.0,234.0,189.0,635.0,22.1180000305
204.0,235.0,189.0,636.0,22.4559993743
204.0,235.0,189.0,636.0,22.7950000762
205.0,235.0,189.0,637.0,23.1329994201
206.0,235.0,188.0,637.0,23.472000122
206.0,235.0,188.0,638.0,23.8099994659
207.0,235.0,188.0,639.0,24.1490001678
207.0,236.0,188.0,639.0,24.4869995117
208.0,236.0,188.0,640.0,24.8260002136
208.0,236.0,188.0,641.0,25.1639995574
209.0,236.0,188.0,641.0,25.5030002593
210.0,236.0,188.0,643.0,25.8419990539
210.0,237.0,188.0,643.0,26.1809997558
211.0,237.0,187.0,644.0,26.5189990997
212.0,237.0,187.0,645.0,26.8579998016
212.0,237.0,187.0,646.0,27.1949996948
213.0,238.0,187.0,647.0,27.5349998474
213.0,238.0,187.0,647.0,27.8740005493
214.0,238.0,187.0,648.0,28.2140007019
215.0,238.0,187.0,650.0,28.5529994964
216.0,239.0,187.0,650.0,28.892999649
216.0,239.0,187.0,651.0,29.2320003509
217.0,239.0,187.0,652.0,29.5729999542
218.0,239.0,187.0,653.0,29.9120006561
218.0,240.0,187.0,654.0,30.2520008087
219.0,240.0,187.0,655.0,30.5909996032
220.0,240.0,187.0,657.0,30.9309997558
221.0,240.0,187.0,658.0,31.2700004577
222.0,241.0,187.0,659.0,31.6100006103
222.0,241.0,186.0,660.0,31.9489994049
223.0,241.0,186.0,661.0,32.2890014648
224.0,241.0,186.0,662.0,32.627998352
225.0,242.0,186.0,663.0,32.9679985046
225.0,242.0,186.0,664.0,33.3079986572
227.0,242.0,186.0,666.0,33.6479988098
227.0,243.0,186.0,667.0,33.9869995117
228.0,243.0,186.0,668.0,34.3269996643
229.0,243.0,186.0,669.0,34.6660003662
230.0,244.0,186.0,670.0,35.0050010681
231.0,244.0,186.0,672.0,35.34400177
231.0,244.0,186.0,673.0,35.6839981079
232.0,244.0,186.0,674.0,36.0229988098
233.0,245.0,186.0,676.0,36.3629989624
234.0,245.0,186.0,677.0,36.7019996643
235.0,245.0,186.0,678.0,37.0429992675
236.0,246.0,186.0,679.0,37.3819999694
237.0,246.0,186.0,681.0,37.722000122
238.0,246.0,186.0,682.0,38.0610008239
239.0,247.0,186.0,683.0,38.4010009765
240.0,247.0,186.0,685.0,38.7400016784
241.0,247.0,186.0,686.0,39.080001831
242.0,248.0,186.0,688.0,39.4189987182
243.0,248.0,186.0,689.0,39.7589988708
244.0,248.0,186.0,690.0,40.0979995727
245.0,248.0,186.0,692.0,40.4379997253
246.0,249.0,186.0,693.0,40.7779998779
247.0,249.0,186.0,695.0,41.1180000305
248.0,250.0,186.0,697.0,41.4570007324
249.0,250.0,186.0,698.0,41.797000885
250.0,250.0,186.0,700.0,42.1360015869
251.0,251.0,186.0,701.0,42.4760017395
252.0,251.0,186.0,703.0,42.8149986267
253.0,251.0,186.0,704.0,43.1539993286
254.0,252.0,186.0,706.0,43.4930000305
255.0,252.0,186.0,707.0,43.8330001831
257.0,252.0,186.0,710.0,44.172000885
258.0,253.0,186.0,711.0,44.5130004882
259.0,253.0,187.0,713.0,44.8520011901
260.0,253.0,187.0,714.0,45.1920013427
261.0,254.0,187.0,716.0,45.5309982299
262.0,254.0,187.0,717.0,45.8709983825
263.0,254.0,187.0,719.0,46.2099990844
265.0,255.0,187.0,721.0,46.549999237
266.0,255.0,187.0,723.0,46.8889999389
267.0,255.0,187.0,725.0,47.2290000915
268.0,256.0,187.0,726.0,47.5680007934
269.0,256.0,187.0,728.0,47.908000946
270.0,257.0,187.0,730.0,48.2480010986
272.0,257.0,187.0,731.0,48.5880012512
273.0,257.0,187.0,733.0,48.9269981384
275.0,258.0,187.0,736.0,49.266998291
276.0,258.0,187.0,737.0,49.6059989929
277.0,258.0,187.0,739.0,49.9459991455
278.0,259.0,187.0,741.0,50.2849998474
279.0,259.0,187.0,743.0,50.6259994506
281.0,260.0,187.0,745.0,50.9659996032
282.0,260.0,188.0,746.0,51.3069992065
284.0,260.0,188.0,749.0,51.6469993591
285.0,261.0,188.0,751.0,51.988998413
286.0,261.0,188.0,753.0,52.3289985656
288.0,261.0,188.0,755.0,52.6689987182
289.0,262.0,188.0,757.0,53.0099983215
290.0,262.0,188.0,758.0,53.3499984741
291.0,263.0,188.0,760.0,53.691001892
