R,G,B,C,Time
465.0,650.0,760.0,2044.0,0.1570000076
456.0,649.0,758.0,2034.0,0.476999998
423.0,645.0,739.0,1978.0,0.8
399.0,641.0,721.0,1932.0,1.1260000467
386.0,639.0,709.0,1904.0,1.4539999961
381.0,638.0,705.0,1895.0,1.7840000152
379.0,641.0,707.0,1899.0,2.118999958
379.0,653.0,718.0,1925.0,2.4590001106
380.0,664.0,725.0,1946.0,2.8010001182
380.0,672.0,731.0,1963.0,3.1470000743
381.0,677.0,735.0,1972.0,3.496999979
381.0,680.0,736.0,1977.0,3.8489999771
381.0,681.0,737.0,1979.0,4.2010002136
381.0,681.0,737.0,1980.0,4.5539999008
382.0,681.0,737.0,1979.0,4.9060001373
382.0,681.0,736.0,1979.0,5.2600002288
382.0,681.0,736.0,1979.0,5.612999916
382.0,681.0,736.0,1978.0,5.9660000801
382.0,681.0,735.0,1978.0,6.3210000991
382.0,681.0,735.0,1977.0,6.6760001182
382.0,681.0,734.0,1977.0,7.0310001373
382.0,681.0,734.0,1976.0,7.3850002288
382.0,681.0,734.0,1976.0,7.7399997711
382.0,680.0,733.0,1976.0,8.0930004119
382.0,680.0,733.0,1975.0,8.4469995498
382.0,680.0,733.0,1975.0,8.8009996414
383.0,680.0,733.0,1975.0,9.1549997329
383.0,680.0,732.0,1974.0,9.5089998245
383.0,680.0,732.0,1974.0,9.8640003204
383.0,680.0,732.0,1974.0,10.2189998626
383.0,680.0,731.0,1974.0,10.5729999542
383.0,680.0,731.0,1974.0,10.9289999008
383.0,680.0,731.0,1974.0,11.2869997024
384.0,680.0,731.0,1973.0,11.642999649
384.0,681.0,731.0,1974.0,11.9989995956
384.0,680.0,730.0,1973.0,12.3549995422
384.0,681.0,730.0,1973.0,12.7100000381
384.0,681.0,730.0,1974.0,13.0679998397
385.0,681.0,730.0,1974.0,13.4230003356
385.0,681.0,729.0,1973.0,13.7790002822
385.0,681.0,729.0,1973.0,14.1359996795
385.0,681.0,729.0,1973.0,14.4910001754
385.0,681.0,729.0,1973.0,14.845000267
386.0,681.0,728.0,1973.0,15.2019996643
386.0,681.0,728.0,1973.0,15.5570001602
386.0,681.0,728.0,1973.0,15.9110002517
386.0,681.0,728.0,1973.0,16.2670001983
386.0,681.0,728.0,1973.0,16.6219997406
387.0,681.0,727.0,1973.0,16.9769992828
387.0,681.0,727.0,1973.0,17.3320007324
387.0,681.0,727.0,1973.0,17.6870002746
387.0,681.0,727.0,1973.0,18.0419998168
388.0,682.0,727.0,1974.0,18.3980007171
388.0,682.0,726.0,1974.0,18.7520008087
388.0,682.0,726.0,1974.0,19.1079998016
388.0,682.0,726.0,1974.0,19.4640007019
389.0,682.0,726.0,1975.0,19.8190002441
389.0,682.0,726.0,1975.0,20.1730003356
389.0,682.0,725.0,1975.0,20.5289993286
390.0,682.0,725.0,1975.0,20.8840007781
390.0,683.0,725.0,1976.0,21.2380008697
390.0,683.0,725.0,1976.0,21.5930004119
391.0,683.0,725.0,1977.0,21.9489994049
391.0,683.0,725.0,1977.0,22.3029994964
391.0,683.0,725.0,1978.0,22.6560001373
392.0,684.0,725.0,1978.0,23.0119991302
392.0,684.0,724.0,1979.0,23.3659992218
393.0,684.0,724.0,1979.0,23.7199993133
393.0,684.0,724.0,1980.0,24.0739994049
393.0,684.0,724.0,1980.0,24.4279994964
394.0,685.0,724.0,1981.0,24.781999588
394.0,685.0,724.0,1981.0,25.1369991302
395.0,685.0,724.0,1982.0,25.4899997711
395.0,685.0,724.0,1982.0,25.8439998626
396.0,686.0,723.0,1984.0,26.1979999542
396.0,686.0,723.0,1985.0,26.5520000457
397.0,686.0,723.0,1985.0,26.906999588
397.0,686.0,723.0,1986.0,27.2609996795
398.0,686.0,723.0,1986.0,27.6159992218
399.0,687.0,723.0,1987.0,27.9689998626
399.0,687.0,723.0,1988.0,28.3229999542
400.0,687.0,723.0,1989.0,28.6779994964
400.0,688.0,723.0,1990.0,29.033000946
401.0,688.0,723.0,1991.0,29.3869991302
402.0,688.0,723.0,1992.0,29.7420005798
403.0,689.0,723.0,1993.0,30.0979995727
403.0,689.0,723.0,1994.0,30.4529991149
404.0,689.0,723.0,1996.0,30.8080005645
405.0,690.0,722.0,1997.0,31.1639995574
406.0,690.0,722.0,1998.0,31.5189990997
406.0,690.0,722.0,1999.0,31.8740005493
407.0,691.0,722.0,2000.0,32.2290000915
408.0,691.0,722.0,2002.0,32.5839996337
409.0,692.0,722.0,2003.0,32.938999176
410.0,692.0,722.0,2004.0,33.2949981689
410.0,692.0,722.0,2005.0,33.6489982604
412.0,693.0,722.0,2007.0,34.0040016174
412.0,693.0,722.0,2008.0,34.3600006103
413.0,693.0,722.0,2010.0,34.7159996032
414.0,694.0,722.0,2011.0,35.0699996948
415.0,694.0,722.0,2012.0,35.4259986877
416.0,695.0,722.0,2015.0,35.7809982299
417.0,695.0,722.0,2016.0,36.1360015869
418.0,695.0,722.0,2017.0,36.4910011291
419.0,696.0,722.0,2019.0,36.8460006713
421.0,696.0,722.0,2021.0,37.2010002136
422.0,697.0,722.0,2023.0,37.5569992065
423.0,697.0,722.0,2024.0,37.910999298
424.0,697.0,722.0,2026.0,38.2659988403
426.0,698.0,722.0,2028.0,38.6230010986
427.0,698.0,722.0,2030.0,38.9770011901
428.0,699.0,722.0,2032.0,39.3320007324
429.0,699.0,723.0,2034.0,39.6879997253
430.0,700.0,723.0,2036.0,40.0429992675
432.0,700.0,723.0,2038.0,40.3969993591
433.0,701.0,723.0,2040.0,40.752998352
434.0,701.0,723.0,2042.0,41.1080017089
436.0,702.0,723.0,2044.0,41.4630012512
438.0,702.0,723.0,2047.0,41.8170013427
439.0,703.0,723.0,2048.0,42.1730003356
440.0,703.0,723.0,2051.0,42.5289993286
442.0,704.0,723.0,2053.0,42.8839988708
444.0,704.0,723.0,2056.0,43.238998413
445.0,705.0,723.0,2058.0,43.59400177
446.0,705.0,723.0,2060.0,43.9490013122
448.0,706.0,723.0,2062.0,44.3050003051
449.0,706.0,724.0,2064.0,44.6590003967
452.0,707.0,724.0,2068.0,45.0139999389
453.0,707.0,724.0,2070.0,45.3699989318
455.0,708.0,724.0,2072.0,45.7249984741
456.0,708.0,724.0,2074.0,46.0789985656
458.0,709.0,724.0,2078.0,46.4360008239
460.0,709.0,724.0,2080.0,46.7919998168
462.0,710.0,724.0,2082.0,47.1479988098
463.0,710.0,724.0,2085.0,47.502998352
466.0,711.0,725.0,2088.0,47.8590011596
467.0,711.0,725.0,2091.0,48.2140007019
469.0,712.0,725.0,2093.0,48.5719985961
471.0,712.0,725.0,2096.0,48.9280014038
472.0,713.0,725.0,2098.0,49.285999298
475.0,713.0,725.0,2102.0,49.6430015563
477.0,714.0,725.0,2104.0,50.0
478.0,714.0,725.0,2107.0,50.3580017089
480.0,715.0,726.0,2109.0,50.7150001525
483.0,715.0,726.0,2113.0,51.0719985961
485.0,716.0,726.0,2116.0,51.4300003051
486.0,716.0,726.0,2118.0,51.7869987487
488.0,717.0,726.0,2121.0,52.144001007
491.0,717.0,726.0,2125.0,52.5009994506
493.0,718.0,726.0,2127.0,52.8580017089
495.0,718.0,726.0,2130.0,53.2159996032
497.0,719.0,727.0,2132.0,53.5719985961
499.0,719.0,727.0,2136.0,53.9290008544
501.0,720.0,727.0,2139.0,54.2879981994
503.0,720.0,727.0,2142.0,54.6450004577
505.0,721.0,727.0,2144.0,55.002998352
508.0,721.0,727.0,2148.0,55.3590011596
510.0,722.0,728.0,2151.0,55.7159996032
512.0,722.0,728.0,2153.0,56.0740013122
513.0,722.0,728.0,2156.0,56.4309997558
516.0,723.0,728.0,2160.0,56.7869987487
518.0,723.0,728.0,2162.0,57.1450004577
520.0,724.0,728.0,2165.0,57.5019989013
522.0,724.0,728.0,2167.0,57.8590011596
525.0,725.0,728.0,2171.0,58.2169990539
527.0,725.0,729.0,2174.0,58.5740013122
528.0,726.0,729.0,2176.0,58.9319992065
530.0,726.0,729.0,2179.0,59.2890014648
532.0,726.0,729.0,2182.0,59.6459999084
535.0,727.0,729.0,2185.0,60.002998352
537.0,727.0,729.0,2188.0,60.3600006103
539.0,728.0,729.0,2190.0,60.7169990539
541.0,728.0,730.0,2193.0,61.0750007629
543.0,728.0,730.0,2197.0,61.4309997558
545.0,729.0,730.0,2199.0,61.7890014648
547.0,729.0,730.0,2201.0,62.1469993591
549.0,729.0,730.0,2204.0,62.5040016174
551.0,730.0,730.0,2207.0,62.8619995117
553.0,730.0,731.0,2210.0,63.2179985046
555.0,730.0,731.0,2212.0,63.5750007629
557.0,731.0,731.0,2214.0,63.9329986572
559.0,731.0,731.0,2218.0,64.2900009155
561.0,732.0,731.0,2220.0,64.6470031738
563.0,732.0,731.0,2222.0,65.0039978027
564.0,732.0,731.0,2224.0,65.361000061
567.0,732.0,731.0,2227.0,65.71900177
569.0,733.0,732.0,2229.0,66.077003479
570.0,733.0,732.0,2231.0,66.4329986572
572.0,733.0,732.0,2234.0,66.7910003662
574.0,733.0,732.0,2237.0,67.1480026245
576.0,734.0,732.0,2238.0,67.5059967041
577.0,734.0,732.0,2240.0,67.861000061
579.0,734.0,732.0,2242.0,68.2180023193
581.0,734.0,732.0,2245.0,68.5759963989
582.0,735.0,732.0,2247.0,68.9319992065
584.0,735.0,733.0,2249.0,69.2870025634
585.0,735.0,733.0,2251.0,69.6439971923
587.0,735.0,733.0,2252.0,70.0009994506
589.0,735.0,733.0,2255.0,70.3570022583
590.0,735.0,733.0,2257.0,70.7129974365
591.0,736.0,733.0,2258.0,71.0690002441
593.0,736.0,733.0,2260.0,71.4250030517
594.0,736.0,733.0,2262.0,71.7819976806
596.0,736.0,733.0,2263.0,72.1370010375
597.0,736.0,733.0,2265.0,72.4929962158
598.0,736.0,733.0,2266.0,72.8499984741
600.0,736.0,733.0,2268.0,73.2060012817
601.0,736.0,734.0,2269.0,73.56300354
602.0,736.0,734.0,2271.0,73.9189987182
603.0,737.0,734.0,2272.0,74.2750015258
604.0,737.0,734.0,2273.0,74.6320037841
605.0,737.0,734.0,2275.0,74.9879989624
606.0,737.0,734.0,2276.0,75.3430023193
607.0,737.0,734.0,2277.0,75.6999969482
608.0,737.0,734.0,2278.0,76.0559997558
609.0,737.0,734.0,2279.0,76.4120025634
610.0,737.0,734.0,2280.0,76.7679977416
611.0,737.0,734.0,2280.0,77.1240005493
612.0,737.0,734.0,2281.0,77.4800033569
613.0,737.0,734.0,2282.0,77.8379974365
614.0,737.0,734.0,2283.0,78.1930007934
614.0,737.0,734.0,2284.0,78.549003601
615.0,737.0,734.0,2284.0,78.9059982299
616.0,736.0,734.0,2285.0,79.2620010375
617.0,737.0,734.0,2286.0,79.6169967651
617.0,736.0,734.0,2286.0,79.9739990234
618.0,736.0,734.0,2287.0,80.330001831
618.0,736.0,734.0,2288.0,80.6859970092
619.0,736.0,734.0,2288.0,81.0419998168
619.0,736.0,734.0,2288.0,81.3980026245
620.0,736.0,734.0,2289.0,81.7559967041
620.0,736.0,734.0,2289.0,82.1119995117
