R,G,B,C,Time
401.0,758.0,846.0,2187.0,0.1570000076
401.0,758.0,846.0,2187.0,0.476999998
404.0,759.0,849.0,2194.0,0.8
398.0,758.0,847.0,2186.0,1.1269999742
386.0,757.0,841.0,2168.0,1.455000019
375.0,755.0,833.0,2148.0,1.7840000152
369.0,755.0,826.0,2137.0,2.1199998855
365.0,753.0,823.0,2126.0,2.4590001106
364.0,753.0,822.0,2124.0,2.8020000457
363.0,753.0,820.0,2120.0,3.1470000743
362.0,753.0,820.0,2119.0,3.496999979
361.0,754.0,820.0,2120.0,3.8499999046
361.0,755.0,820.0,2121.0,4.2010002136
362.0,756.0,821.0,2123.0,4.5539999008
365.0,760.0,824.0,2137.0,4.9089999198
362.0,757.0,822.0,2127.0,5.2630000114
361.0,757.0,821.0,2124.0,5.618999958
362.0,758.0,821.0,2125.0,5.9759998321
362.0,758.0,821.0,2126.0,6.3319997787
362.0,758.0,821.0,2126.0,6.6859998703
362.0,759.0,822.0,2128.0,7.0419998168
362.0,759.0,821.0,2128.0,7.3969998359
362.0,759.0,821.0,2128.0,7.7509999275
362.0,760.0,821.0,2129.0,8.1049995422
362.0,760.0,822.0,2129.0,8.4580001831
362.0,760.0,822.0,2129.0,8.8109998703
363.0,760.0,821.0,2129.0,9.1639995574
363.0,760.0,821.0,2130.0,9.5190000534
363.0,761.0,822.0,2130.0,9.8719997406
363.0,761.0,822.0,2131.0,10.2250003814
363.0,761.0,822.0,2131.0,10.579000473
363.0,761.0,822.0,2131.0,10.9329996109
363.0,761.0,821.0,2131.0,11.2880001068
363.0,761.0,821.0,2131.0,11.6420001983
363.0,761.0,821.0,2131.0,11.9969997406
364.0,761.0,821.0,2132.0,12.3500003814
364.0,761.0,822.0,2132.0,12.704000473
364.0,761.0,821.0,2132.0,13.0590000152
364.0,762.0,821.0,2132.0,13.4119997024
364.0,762.0,822.0,2133.0,13.765999794
364.0,762.0,821.0,2133.0,14.1199998855
364.0,762.0,821.0,2133.0,14.4750003814
365.0,762.0,821.0,2133.0,14.8280000686
365.0,762.0,821.0,2133.0,15.1829996109
365.0,762.0,821.0,2133.0,15.5380001068
365.0,762.0,821.0,2133.0,15.890999794
365.0,762.0,821.0,2133.0,16.2450008392
365.0,762.0,821.0,2133.0,16.6000003814
365.0,762.0,821.0,2133.0,16.954000473
365.0,762.0,821.0,2134.0,17.3069992065
365.0,762.0,821.0,2134.0,17.660999298
366.0,762.0,821.0,2134.0,18.0160007476
366.0,762.0,821.0,2134.0,18.3689994812
366.0,762.0,821.0,2134.0,18.7229995727
366.0,762.0,821.0,2134.0,19.079000473
366.0,762.0,821.0,2134.0,19.4330005645
366.0,762.0,821.0,2134.0,19.785999298
366.0,762.0,821.0,2134.0,20.1410007476
366.0,762.0,821.0,2134.0,20.4950008392
366.0,762.0,821.0,2134.0,20.8479995727
366.0,762.0,821.0,2134.0,21.2019996643
367.0,762.0,821.0,2134.0,21.5569992065
367.0,762.0,821.0,2135.0,21.910999298
367.0,762.0,821.0,2135.0,22.2639999389
367.0,762.0,821.0,2135.0,22.6189994812
367.0,762.0,821.0,2135.0,22.9740009307
367.0,762.0,821.0,2135.0,23.3279991149
367.0,762.0,821.0,2135.0,23.6819992065
367.0,762.0,821.0,2135.0,24.035999298
368.0,762.0,821.0,2135.0,24.3899993896
368.0,762.0,821.0,2135.0,24.7430000305
368.0,762.0,821.0,2135.0,25.0979995727
368.0,762.0,821.0,2136.0,25.4519996643
368.0,762.0,821.0,2136.0,25.8059997558
368.0,762.0,821.0,2136.0,26.1599998474
368.0,762.0,821.0,2136.0,26.5139999389
368.0,763.0,821.0,2136.0,26.8689994812
369.0,763.0,821.0,2136.0,27.2229995727
369.0,763.0,821.0,2137.0,27.5769996643
369.0,763.0,821.0,2137.0,27.9309997558
369.0,763.0,821.0,2137.0,28.2849998474
369.0,763.0,821.0,2137.0,28.6389999389
369.0,763.0,821.0,2137.0,28.9930000305
369.0,763.0,821.0,2137.0,29.347000122
369.0,763.0,821.0,2137.0,29.7019996643
370.0,763.0,820.0,2137.0,30.0550003051
370.0,763.0,820.0,2137.0,30.4090003967
370.0,763.0,820.0,2137.0,30.7649993896
370.0,763.0,820.0,2137.0,31.1180000305
370.0,763.0,820.0,2138.0,31.472000122
370.0,763.0,820.0,2138.0,31.8260002136
370.0,763.0,820.0,2138.0,32.1809997558
371.0,763.0,820.0,2138.0,32.5340003967
371.0,763.0,820.0,2138.0,32.8880004882
371.0,763.0,820.0,2139.0,33.2430000305
371.0,763.0,820.0,2139.0,33.597000122
371.0,763.0,820.0,2139.0,33.9500007629
371.0,763.0,820.0,2139.0,34.3059997558
371.0,763.0,820.0,2140.0,34.6619987487
372.0,763.0,820.0,2140.0,35.016998291
372.0,763.0,820.0,2140.0,35.3720016479
372.0,763.0,820.0,2140.0,35.7270011901
372.0,763.0,820.0,2141.0,36.0820007324
372.0,763.0,821.0,2141.0,36.4370002746
372.0,763.0,820.0,2141.0,36.7919998168
373.0,763.0,820.0,2141.0,37.1469993591
373.0,763.0,820.0,2141.0,37.5019989013
373.0,763.0,820.0,2141.0,37.8580017089
373.0,763.0,820.0,2141.0,38.2120018005
373.0,763.0,820.0,2142.0,38.5680007934
373.0,763.0,820.0,2142.0,38.9239997863
374.0,764.0,820.0,2142.0,39.2779998779
374.0,764.0,820.0,2142.0,39.6329994201
374.0,764.0,820.0,2143.0,39.988998413
374.0,764.0,820.0,2143.0,40.34400177
374.0,764.0,820.0,2143.0,40.6980018615
374.0,764.0,820.0,2143.0,41.0540008544
375.0,764.0,820.0,2143.0,41.4090003967
375.0,764.0,820.0,2144.0,41.7639999389
375.0,764.0,820.0,2144.0,42.1189994812
375.0,764.0,820.0,2144.0,42.4749984741
375.0,764.0,820.0,2145.0,42.830001831
375.0,764.0,820.0,2144.0,43.1860008239
376.0,764.0,820.0,2145.0,43.5400009155
376.0,764.0,820.0,2145.0,43.8950004577
376.0,764.0,820.0,2146.0,44.2509994506
376.0,764.0,820.0,2146.0,44.6059989929
376.0,764.0,820.0,2146.0,44.9599990844
377.0,764.0,820.0,2146.0,45.316001892
377.0,764.0,820.0,2147.0,45.6710014343
377.0,764.0,820.0,2147.0,46.0260009765
377.0,764.0,821.0,2147.0,46.3819999694
377.0,765.0,821.0,2147.0,46.7369995117
378.0,764.0,821.0,2148.0,47.0919990539
378.0,765.0,821.0,2148.0,47.4480018615
378.0,765.0,821.0,2148.0,47.8019981384
378.0,765.0,821.0,2149.0,48.1570014953
379.0,765.0,821.0,2149.0,48.5120010375
379.0,765.0,821.0,2149.0,48.8680000305
379.0,765.0,821.0,2149.0,49.222000122
379.0,765.0,821.0,2149.0,49.5769996643
379.0,765.0,821.0,2150.0,49.9329986572
380.0,765.0,821.0,2150.0,50.2890014648
380.0,765.0,821.0,2150.0,50.6430015563
380.0,765.0,821.0,2151.0,50.9990005493
380.0,765.0,821.0,2151.0,51.3540000915
380.0,765.0,821.0,2152.0,51.7089996337
381.0,765.0,821.0,2152.0,52.063999176
381.0,765.0,821.0,2152.0,52.4189987182
381.0,765.0,821.0,2152.0,52.7739982604
381.0,766.0,821.0,2153.0,53.1300010681
382.0,766.0,821.0,2153.0,53.4840011596
382.0,766.0,821.0,2154.0,53.8390007019
382.0,766.0,821.0,2154.0,54.1959991455
382.0,766.0,821.0,2154.0,54.5509986877
382.0,766.0,821.0,2154.0,54.9049987792
383.0,766.0,821.0,2155.0,55.2610015869
383.0,766.0,821.0,2155.0,55.6160011291
383.0,766.0,821.0,2155.0,55.9700012207
383.0,766.0,821.0,2155.0,56.3260002136
384.0,766.0,821.0,2156.0,56.6809997558
384.0,766.0,821.0,2156.0,57.035999298
384.0,766.0,821.0,2156.0,57.3909988403
384.0,766.0,821.0,2157.0,57.7459983825
385.0,766.0,821.0,2157.0,58.1020011901
385.0,766.0,821.0,2157.0,58.4580001831
385.0,766.0,821.0,2158.0,58.8120002746
385.0,766.0,821.0,2158.0,59.1669998168
386.0,766.0,821.0,2158.0,59.5229988098
386.0,766.0,821.0,2159.0,59.877998352
386.0,766.0,821.0,2159.0,60.2319984436
386.0,767.0,821.0,2160.0,60.5880012512
387.0,767.0,821.0,2160.0,60.9430007934
387.0,767.0,821.0,2160.0,61.2980003356
387.0,767.0,821.0,2161.0,61.6520004272
387.0,767.0,821.0,2161.0,62.0089988708
388.0,767.0,821.0,2161.0,62.363998413
388.0,767.0,821.0,2162.0,62.71900177
388.0,767.0,821.0,2162.0,63.0740013122
389.0,767.0,821.0,2162.0,63.4290008544
389.0,767.0,821.0,2163.0,63.7840003967
389.0,767.0,821.0,2164.0,64.1399993896
390.0,767.0,821.0,2164.0,64.4940032958
390.0,767.0,821.0,2164.0,64.8489990234
390.0,767.0,821.0,2165.0,65.205001831
390.0,767.0,821.0,2165.0,65.5599975585
391.0,768.0,821.0,2165.0,65.9150009155
391.0,768.0,821.0,2166.0,66.2710037231
391.0,768.0,821.0,2166.0,66.6259994506
392.0,768.0,821.0,2167.0,66.9810028076
392.0,768.0,821.0,2167.0,67.3359985351
392.0,768.0,821.0,2167.0,67.691001892
392.0,768.0,821.0,2168.0,68.0459976196
393.0,768.0,821.0,2168.0,68.4020004272
393.0,768.0,822.0,2169.0,68.7559967041
394.0,768.0,822.0,2169.0,69.111000061
394.0,768.0,822.0,2170.0,69.4670028686
394.0,768.0,822.0,2170.0,69.8229980468
395.0,768.0,822.0,2171.0,70.1770019531
