R:341 G:474 B:564 C:1497 cur_avg1704 prev_avg1722 read_idx9 Time:0.1240000009 
R:340 G:474 B:565 C:1497 cur_avg1686 prev_avg1704 read_idx10 Time:0.2619999885 
R:339 G:477 B:570 C:1505 cur_avg1668 prev_avg1686 read_idx0 Time:0.4019999980 
R:338 G:477 B:569 C:1506 cur_avg1649 prev_avg1668 read_idx1 Time:0.5420000076 
R:338 G:475 B:566 C:1500 cur_avg1629 prev_avg1649 read_idx2 Time:0.6809999942 
R:342 G:485 B:574 C:1526 cur_avg1611 prev_avg1629 read_idx3 Time:0.8190000534 
R:340 G:479 B:566 C:1509 cur_avg1592 prev_avg1611 read_idx4 Time:0.9579999923 
R:340 G:477 B:562 C:1503 cur_avg1571 prev_avg1592 read_idx5 Time:1.0980000495 
R:338 G:475 B:561 C:1497 cur_avg1549 prev_avg1571 read_idx6 Time:1.2359999418 
R:339 G:476 B:564 C:1501 cur_avg1526 prev_avg1549 read_idx7 Time:1.3750000000 
R:339 G:476 B:563 C:1501 cur_avg1503 prev_avg1526 read_idx8 Time:1.5140000343 
R:339 G:476 B:564 C:1501 cur_avg1504 prev_avg1503 read_idx9 Time:1.6529999732 
R:338 G:475 B:563 C:1498 cur_avg1504 prev_avg1504 read_idx10 Time:1.7920000553 
R:338 G:474 B:561 C:1494 cur_avg1503 prev_avg1504 read_idx0 Time:1.9320000648 
R:338 G:474 B:561 C:1495 cur_avg1502 prev_avg1503 read_idx1 Time:2.0720000267 
R:338 G:474 B:561 C:1495 cur_avg1501 prev_avg1502 read_idx2 Time:2.2100000381 
R:338 G:474 B:561 C:1494 cur_avg1498 prev_avg1501 read_idx3 Time:2.3489999771 
R:338 G:474 B:561 C:1496 cur_avg1497 prev_avg1498 read_idx4 Time:2.4879999160 
R:338 G:474 B:562 C:1496 cur_avg1497 prev_avg1497 read_idx5 Time:2.6270000934 
R:338 G:474 B:562 C:1496 cur_avg1497 prev_avg1497 read_idx6 Time:2.7660000324 
R:338 G:474 B:562 C:1496 cur_avg1496 prev_avg1497 read_idx7 Time:2.9049999237 
R:338 G:474 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx8 Time:3.0429999828 
R:338 G:475 B:563 C:1498 cur_avg1495 prev_avg1496 read_idx9 Time:3.1830000877 
R:338 G:474 B:561 C:1496 cur_avg1495 prev_avg1495 read_idx10 Time:3.3220000267 
R:338 G:475 B:562 C:1497 cur_avg1496 prev_avg1495 read_idx0 Time:3.4619998931 
R:338 G:475 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx1 Time:3.5999999046 
R:338 G:475 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx2 Time:3.7400000095 
R:338 G:475 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx3 Time:3.8789999008 
R:338 G:475 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx4 Time:4.0170001983 
R:338 G:475 B:563 C:1498 cur_avg1496 prev_avg1496 read_idx5 Time:4.1560001373 
R:338 G:474 B:562 C:1496 cur_avg1496 prev_avg1496 read_idx6 Time:4.2960000038 
R:338 G:474 B:561 C:1495 cur_avg1496 prev_avg1496 read_idx7 Time:4.4340000152 
R:338 G:474 B:562 C:1496 cur_avg1496 prev_avg1496 read_idx8 Time:4.5729999542 
R:338 G:474 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx9 Time:4.7119998931 
R:338 G:474 B:561 C:1496 cur_avg1496 prev_avg1496 read_idx10 Time:4.8520002365 
R:338 G:474 B:561 C:1496 cur_avg1496 prev_avg1496 read_idx0 Time:4.9910001754 
R:338 G:474 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx1 Time:5.1300001144 
R:338 G:474 B:562 C:1496 cur_avg1496 prev_avg1496 read_idx2 Time:5.2690000534 
R:338 G:474 B:561 C:1496 cur_avg1496 prev_avg1496 read_idx3 Time:5.4079999923 
R:338 G:474 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx4 Time:5.5469999313 
R:338 G:474 B:562 C:1497 cur_avg1496 prev_avg1496 read_idx5 Time:5.6859998703 
R:338 G:474 B:563 C:1497 cur_avg1496 prev_avg1496 read_idx6 Time:5.8260002136 
R:338 G:475 B:563 C:1498 cur_avg1496 prev_avg1496 read_idx7 Time:5.9640002250 
R:338 G:475 B:563 C:1498 cur_avg1496 prev_avg1496 read_idx8 Time:6.1030001640 
R:338 G:475 B:564 C:1499 cur_avg1497 prev_avg1496 read_idx9 Time:6.2420001029 
R:338 G:475 B:563 C:1499 cur_avg1497 prev_avg1497 read_idx10 Time:6.3810000419 
R:338 G:475 B:564 C:1499 cur_avg1497 prev_avg1497 read_idx0 Time:6.5209999084 
R:338 G:475 B:564 C:1500 cur_avg1497 prev_avg1497 read_idx1 Time:6.6599998474 
