R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1810 read_idx0 Time:8.5839996337 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx1 Time:8.7530002593 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx2 Time:8.9230003356 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx3 Time:9.0920000076 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx4 Time:9.2609996795 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx5 Time:9.4300003051 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx6 Time:9.5989999771 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx7 Time:9.7679996490 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx8 Time:9.9379997253 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx9 Time:10.1070003509 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx10 Time:10.2770004272 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx0 Time:10.4479999542 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx1 Time:10.6180000305 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx2 Time:10.7880001068 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx3 Time:10.9589996337 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx4 Time:11.1289997100 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx5 Time:11.2989997863 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx6 Time:11.4680004119 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx7 Time:11.6379995346 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx8 Time:11.8090000152 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx9 Time:11.9790000915 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1812 cur_avg1811 prev_avg1811 read_idx10 Time:12.1490001678 Measured Time: 0.0000000000  
R:358 G:576 B:720 C:1811 cur_avg1811 prev_avg1811 read_idx0 Time:12.3199996948 Measured Time: 0.0000000000  
