R:333 G:463 B:548 C:1452 cur_avg737 prev_avg660 read_idx0 Time:0.1240000009 
R:333 G:463 B:548 C:1453 cur_avg813 prev_avg737 read_idx1 Time:0.2599999904 
R:334 G:473 B:568 C:1485 cur_avg891 prev_avg813 read_idx2 Time:0.3970000267 
R:333 G:465 B:555 C:1463 cur_avg965 prev_avg891 read_idx3 Time:0.5339999675 
R:331 G:464 B:551 C:1456 cur_avg1036 prev_avg965 read_idx4 Time:0.6710000038 
R:332 G:468 B:556 C:1467 cur_avg1107 prev_avg1036 read_idx5 Time:0.8090000152 
R:333 G:462 B:538 C:1446 cur_avg1177 prev_avg1107 read_idx6 Time:0.9480000495 
R:332 G:451 B:518 C:1412 cur_avg1243 prev_avg1177 read_idx7 Time:1.0859999656 
R:334 G:462 B:533 C:1443 cur_avg1312 prev_avg1243 read_idx8 Time:1.2259999513 
R:334 G:457 B:522 C:1426 cur_avg1380 prev_avg1312 read_idx9 Time:1.3650000095 
R:334 G:461 B:533 C:1441 cur_avg1449 prev_avg1380 read_idx10 Time:1.5039999485 
R:333 G:458 B:527 C:1431 cur_avg1447 prev_avg1449 read_idx0 Time:1.6430000305 
R:333 G:459 B:531 C:1435 cur_avg1445 prev_avg1447 read_idx1 Time:1.7829999923 
R:333 G:460 B:532 C:1438 cur_avg1441 prev_avg1445 read_idx2 Time:1.9220000267 
R:332 G:458 B:529 C:1431 cur_avg1438 prev_avg1441 read_idx3 Time:2.0599999427 
R:333 G:460 B:532 C:1437 cur_avg1437 prev_avg1438 read_idx4 Time:2.1989998817 
R:333 G:458 B:530 C:1433 cur_avg1433 prev_avg1437 read_idx5 Time:2.3389999866 
R:332 G:456 B:527 C:1427 cur_avg1432 prev_avg1433 read_idx6 Time:2.4769999980 
R:333 G:460 B:532 C:1437 cur_avg1434 prev_avg1432 read_idx7 Time:2.6159999370 
R:332 G:456 B:526 C:1426 cur_avg1432 prev_avg1434 read_idx8 Time:2.7550001144 
R:333 G:460 B:531 C:1437 cur_avg1433 prev_avg1432 read_idx9 Time:2.8949999809 
R:333 G:460 B:532 C:1437 cur_avg1433 prev_avg1433 read_idx10 Time:3.0329999923 
R:333 G:458 B:530 C:1432 cur_avg1433 prev_avg1433 read_idx0 Time:3.1730000972 
R:332 G:457 B:527 C:1427 cur_avg1432 prev_avg1433 read_idx1 Time:3.3129999637 
R:332 G:456 B:525 C:1425 cur_avg1431 prev_avg1432 read_idx2 Time:3.4509999752 
R:332 G:456 B:526 C:1425 cur_avg1431 prev_avg1431 read_idx3 Time:3.5899999141 
R:332 G:457 B:529 C:1430 cur_avg1430 prev_avg1431 read_idx4 Time:3.7290000915 
R:333 G:458 B:530 C:1433 cur_avg1430 prev_avg1430 read_idx5 Time:3.8689999580 
R:333 G:459 B:530 C:1434 cur_avg1431 prev_avg1430 read_idx6 Time:4.0069999694 
R:333 G:460 B:532 C:1438 cur_avg1431 prev_avg1431 read_idx7 Time:4.1459999084 
R:333 G:458 B:529 C:1431 cur_avg1431 prev_avg1431 read_idx8 Time:4.2849998474 
R:333 G:459 B:530 C:1434 cur_avg1431 prev_avg1431 read_idx9 Time:4.4239997863 
R:332 G:454 B:524 C:1420 cur_avg1429 prev_avg1431 read_idx10 Time:4.5630002021 
R:332 G:454 B:523 C:1419 cur_avg1428 prev_avg1429 read_idx0 Time:4.7030000686 
R:332 G:455 B:525 C:1423 cur_avg1428 prev_avg1428 read_idx1 Time:4.8410000801 
R:332 G:455 B:525 C:1424 cur_avg1428 prev_avg1428 read_idx2 Time:4.9809999465 
R:333 G:458 B:529 C:1431 cur_avg1428 prev_avg1428 read_idx3 Time:5.1199998855 
R:333 G:458 B:529 C:1431 cur_avg1428 prev_avg1428 read_idx4 Time:5.2589998245 
R:333 G:458 B:529 C:1431 cur_avg1428 prev_avg1428 read_idx5 Time:5.3969998359 
R:332 G:458 B:531 C:1434 cur_avg1428 prev_avg1428 read_idx6 Time:5.5370001792 
R:333 G:456 B:524 C:1424 cur_avg1427 prev_avg1428 read_idx7 Time:5.6760001182 
R:333 G:456 B:524 C:1425 cur_avg1426 prev_avg1427 read_idx8 Time:5.8140001296 
R:333 G:456 B:525 C:1426 cur_avg1426 prev_avg1426 read_idx9 Time:5.9530000686 
R:333 G:456 B:524 C:1425 cur_avg1426 prev_avg1426 read_idx10 Time:6.0929999351 
R:332 G:455 B:523 C:1423 cur_avg1427 prev_avg1426 read_idx0 Time:6.2329998016 
R:333 G:456 B:524 C:1424 cur_avg1427 prev_avg1427 read_idx1 Time:6.3709998130 
R:333 G:456 B:525 C:1426 cur_avg1427 prev_avg1427 read_idx2 Time:6.5100002288 
R:333 G:456 B:525 C:1425 cur_avg1426 prev_avg1427 read_idx3 Time:6.6500000953 
R:333 G:455 B:524 C:1424 cur_avg1426 prev_avg1426 read_idx4 Time:6.7880001068 
