R:333 G:458 B:544 C:1454 cur_avg1454 prev_avg1453 read_idx0 Time:9.0229997634 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1454 read_idx1 Time:9.1619997024 
R:334 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx2 Time:9.3009996414 
R:334 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx3 Time:9.4399995803 
R:334 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx4 Time:9.5790004730 
R:334 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx5 Time:9.7180004119 
R:334 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx6 Time:9.8570003509 
R:334 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx7 Time:9.9949998855 
R:333 G:458 B:544 C:1454 cur_avg1453 prev_avg1453 read_idx8 Time:10.1350002288 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx9 Time:10.2749996185 
R:334 G:458 B:545 C:1455 cur_avg1453 prev_avg1453 read_idx10 Time:10.4149999618 
R:334 G:458 B:545 C:1455 cur_avg1454 prev_avg1453 read_idx0 Time:10.5550003051 
R:334 G:458 B:545 C:1455 cur_avg1454 prev_avg1454 read_idx1 Time:10.6960000991 
R:334 G:458 B:545 C:1455 cur_avg1454 prev_avg1454 read_idx2 Time:10.8360004425 
R:334 G:458 B:544 C:1454 cur_avg1454 prev_avg1454 read_idx3 Time:10.9750003814 
R:334 G:458 B:543 C:1453 cur_avg1454 prev_avg1454 read_idx4 Time:11.1160001754 
R:334 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx5 Time:11.2559995651 
R:334 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx6 Time:11.3959999084 
R:334 G:458 B:545 C:1455 cur_avg1454 prev_avg1454 read_idx7 Time:11.5349998474 
R:334 G:458 B:545 C:1455 cur_avg1454 prev_avg1454 read_idx8 Time:11.6759996414 
R:334 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx9 Time:11.8159999847 
R:333 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx10 Time:11.9560003280 
R:333 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx0 Time:12.0970001220 
R:333 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx1 Time:12.2370004653 
R:333 G:458 B:545 C:1454 cur_avg1454 prev_avg1454 read_idx2 Time:12.3769998550 
R:334 G:458 B:544 C:1454 cur_avg1454 prev_avg1454 read_idx3 Time:12.5159997940 
R:333 G:457 B:544 C:1453 cur_avg1454 prev_avg1454 read_idx4 Time:12.6569995880 
R:333 G:458 B:544 C:1453 cur_avg1454 prev_avg1454 read_idx5 Time:12.7969999313 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1454 read_idx6 Time:12.9370002746 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx7 Time:13.0769996643 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx8 Time:13.2170000076 
R:333 G:457 B:544 C:1452 cur_avg1453 prev_avg1453 read_idx9 Time:13.3570003509 
R:333 G:457 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx10 Time:13.4969997406 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx0 Time:13.6379995346 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx1 Time:13.7779998779 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx2 Time:13.9180002212 
R:333 G:457 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx3 Time:14.0579996109 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx4 Time:14.1979999542 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx5 Time:14.3380002975 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx6 Time:14.4779996871 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx7 Time:14.6180000305 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx8 Time:14.7580003738 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx9 Time:14.8979997634 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx10 Time:15.0389995574 
R:333 G:457 B:543 C:1452 cur_avg1453 prev_avg1453 read_idx0 Time:15.1789999008 
R:333 G:457 B:543 C:1451 cur_avg1452 prev_avg1453 read_idx1 Time:15.3190002441 
R:333 G:458 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx2 Time:15.4589996337 
R:333 G:458 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx3 Time:15.5989999771 
R:333 G:458 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx4 Time:15.7390003204 
R:333 G:458 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx5 Time:15.8789997100 
R:333 G:458 B:545 C:1454 cur_avg1452 prev_avg1452 read_idx6 Time:16.0200004577 
R:333 G:458 B:545 C:1454 cur_avg1452 prev_avg1452 read_idx7 Time:16.1590003967 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1452 read_idx8 Time:16.2989997863 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx9 Time:16.4389991760 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx10 Time:16.5799999237 
R:333 G:458 B:545 C:1454 cur_avg1453 prev_avg1453 read_idx0 Time:16.7199993133 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx1 Time:16.8600006103 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx2 Time:17.0009994506 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx3 Time:17.1399993896 
R:333 G:458 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx4 Time:17.2800006866 
R:333 G:457 B:544 C:1452 cur_avg1453 prev_avg1453 read_idx5 Time:17.4200000762 
R:333 G:457 B:544 C:1452 cur_avg1453 prev_avg1453 read_idx6 Time:17.5610008239 
R:333 G:457 B:544 C:1452 cur_avg1453 prev_avg1453 read_idx7 Time:17.7000007629 
R:333 G:457 B:544 C:1453 cur_avg1453 prev_avg1453 read_idx8 Time:17.8400001525 
R:333 G:458 B:544 C:1453 cur_avg1452 prev_avg1453 read_idx9 Time:17.9799995422 
R:333 G:458 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx10 Time:18.1210002899 
R:333 G:457 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx0 Time:18.2609996795 
R:333 G:457 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx1 Time:18.4009990692 
R:333 G:457 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx2 Time:18.5419998168 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx3 Time:18.6809997558 
R:333 G:457 B:544 C:1453 cur_avg1452 prev_avg1452 read_idx4 Time:18.8209991455 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx5 Time:18.9610004425 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx6 Time:19.1019992828 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx7 Time:19.2409992218 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx8 Time:19.3810005187 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx9 Time:19.5219993591 
R:333 G:457 B:543 C:1451 cur_avg1452 prev_avg1452 read_idx10 Time:19.6620006561 
R:333 G:457 B:543 C:1451 cur_avg1452 prev_avg1452 read_idx0 Time:19.8020000457 
R:333 G:457 B:544 C:1452 cur_avg1452 prev_avg1452 read_idx1 Time:19.9419994354 
R:333 G:457 B:544 C:1452 cur_avg1451 prev_avg1452 read_idx2 Time:20.0830001831 
R:333 G:457 B:544 C:1452 cur_avg1451 prev_avg1451 read_idx3 Time:20.2220001220 
R:333 G:457 B:543 C:1451 cur_avg1451 prev_avg1451 read_idx4 Time:20.3619995117 
R:333 G:456 B:542 C:1448 cur_avg1451 prev_avg1451 read_idx5 Time:20.5030002593 
R:333 G:456 B:541 C:1448 cur_avg1451 prev_avg1451 read_idx6 Time:20.6429996490 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1451 read_idx7 Time:20.7819995880 
R:333 G:457 B:544 C:1452 cur_avg1450 prev_avg1450 read_idx8 Time:20.9220008850 
R:333 G:457 B:544 C:1452 cur_avg1450 prev_avg1450 read_idx9 Time:21.0629997253 
R:333 G:457 B:544 C:1452 cur_avg1451 prev_avg1450 read_idx10 Time:21.2029991149 
R:333 G:457 B:543 C:1451 cur_avg1451 prev_avg1451 read_idx0 Time:21.3430004119 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1451 read_idx1 Time:21.4839992523 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx2 Time:21.6240005493 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx3 Time:21.7630004882 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx4 Time:21.9029998779 
R:333 G:457 B:543 C:1451 cur_avg1451 prev_avg1450 read_idx5 Time:22.0440006256 
R:333 G:457 B:543 C:1451 cur_avg1451 prev_avg1451 read_idx6 Time:22.1840000152 
R:333 G:457 B:543 C:1451 cur_avg1451 prev_avg1451 read_idx7 Time:22.3229999542 
R:333 G:457 B:543 C:1451 cur_avg1451 prev_avg1451 read_idx8 Time:22.4640007019 
R:333 G:457 B:543 C:1450 cur_avg1451 prev_avg1451 read_idx9 Time:22.6040000915 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1451 read_idx10 Time:22.7439994812 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx0 Time:22.8840007781 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx1 Time:23.0249996185 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx2 Time:23.1650009155 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx3 Time:23.3050003051 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx4 Time:23.4449996948 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx5 Time:23.5849990844 
R:333 G:457 B:543 C:1451 cur_avg1450 prev_avg1450 read_idx6 Time:23.7250003814 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx7 Time:23.8640003204 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx8 Time:24.0049991607 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx9 Time:24.1450004577 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx10 Time:24.2849998474 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx0 Time:24.4260005950 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx1 Time:24.5659999847 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx2 Time:24.7059993743 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx3 Time:24.8460006713 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx4 Time:24.9860000610 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx5 Time:25.1259994506 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx6 Time:25.2660007476 
R:333 G:456 B:543 C:1450 cur_avg1450 prev_avg1450 read_idx7 Time:25.4050006866 
R:333 G:456 B:543 C:1449 cur_avg1449 prev_avg1450 read_idx8 Time:25.5459995269 
R:332 G:456 B:542 C:1448 cur_avg1449 prev_avg1449 read_idx9 Time:25.6860008239 
R:333 G:456 B:542 C:1449 cur_avg1449 prev_avg1449 read_idx10 Time:25.8260002136 
R:333 G:456 B:543 C:1449 cur_avg1449 prev_avg1449 read_idx0 Time:25.9669990539 
R:333 G:456 B:543 C:1449 cur_avg1449 prev_avg1449 read_idx1 Time:26.1070003509 
R:333 G:456 B:543 C:1449 cur_avg1449 prev_avg1449 read_idx2 Time:26.2469997406 
R:332 G:456 B:543 C:1449 cur_avg1449 prev_avg1449 read_idx3 Time:26.3880004882 
