R:339 G:631 B:752 C:1882 cur_avg1864 prev_avg1862 read_idx1 Time:0.1240000009 Measured Time: 0.0000000000  
R:338 G:625 B:739 C:1862 cur_avg1864 prev_avg1864 read_idx2 Time:0.2930000114 Measured Time: 0.0000000000  
R:339 G:629 B:742 C:1871 cur_avg1864 prev_avg1864 read_idx3 Time:0.4619999885 Measured Time: 0.0000000000  
R:342 G:652 B:776 C:1938 cur_avg1871 prev_avg1864 read_idx4 Time:0.6309999942 Measured Time: 0.0000000000  
R:334 G:607 B:708 C:1807 cur_avg1866 prev_avg1871 read_idx5 Time:0.8000000000 Measured Time: 0.0000000000  
R:338 G:615 B:712 C:1826 cur_avg1863 prev_avg1866 read_idx6 Time:0.9700000762 Measured Time: 0.0000000000  
R:341 G:624 B:719 C:1829 cur_avg1860 prev_avg1863 read_idx7 Time:1.1390000581 Measured Time: 0.0000000000  
R:339 G:621 B:717 C:1841 cur_avg1858 prev_avg1860 read_idx8 Time:1.3079999685 Measured Time: 0.0000000000  
R:337 G:613 B:709 C:1820 cur_avg1854 prev_avg1858 read_idx9 Time:1.4769999980 Measured Time: 0.0000000000  
R:336 G:610 B:706 C:1813 cur_avg1850 prev_avg1854 read_idx10 Time:1.6460000038 Measured Time: 0.0000000000  
R:336 G:609 B:706 C:1811 cur_avg1845 prev_avg1850 read_idx0 Time:1.8159999847 Measured Time: 0.0000000000  
R:336 G:611 B:708 C:1817 cur_avg1839 prev_avg1845 read_idx1 Time:1.9859999656 Measured Time: 0.0000000000  
R:337 G:614 B:715 C:1828 cur_avg1836 prev_avg1839 read_idx2 Time:2.1549999713 Measured Time: 0.0000000000  
R:338 G:625 B:734 C:1861 cur_avg1835 prev_avg1836 read_idx3 Time:2.3239998817 Measured Time: 0.0000000000  
R:339 G:630 B:744 C:1879 cur_avg1830 prev_avg1835 read_idx4 Time:2.4930000305 Measured Time: 0.0000000000  
R:339 G:628 B:735 C:1867 cur_avg1835 prev_avg1830 read_idx5 Time:2.6619999408 Measured Time: 0.0000000000  
R:336 G:611 B:710 C:1818 cur_avg1834 prev_avg1835 read_idx6 Time:2.8310001373 Measured Time: 0.0000000000  
R:336 G:611 B:708 C:1816 cur_avg1833 prev_avg1834 read_idx7 Time:3.0000000000 Measured Time: 0.0000000000  
R:336 G:611 B:709 C:1816 cur_avg1831 prev_avg1833 read_idx8 Time:3.1700000762 Measured Time: 0.0000000000  
R:336 G:612 B:710 C:1819 cur_avg1831 prev_avg1831 read_idx9 Time:3.3389999866 Measured Time: 0.0000000000  
R:337 G:616 B:719 C:1834 cur_avg1833 prev_avg1831 read_idx10 Time:3.5069999694 Measured Time: 0.0000000000  
R:337 G:616 B:719 C:1834 cur_avg1835 prev_avg1833 read_idx0 Time:3.6770000457 Measured Time: 0.0000000000  
R:337 G:617 B:719 C:1835 cur_avg1837 prev_avg1835 read_idx1 Time:3.8459999084 Measured Time: 0.0000000000  
R:336 G:611 B:710 C:1818 cur_avg1836 prev_avg1837 read_idx2 Time:4.0149998664 Measured Time: 0.0000000000  
R:336 G:609 B:706 C:1811 cur_avg1831 prev_avg1836 read_idx3 Time:4.1849999427 Measured Time: 0.0000000000  
R:336 G:610 B:709 C:1816 cur_avg1825 prev_avg1831 read_idx4 Time:4.3540000915 Measured Time: 0.0000000000  
R:337 G:616 B:719 C:1834 cur_avg1822 prev_avg1825 read_idx5 Time:4.5229997634 Measured Time: 0.0000000000  
R:336 G:613 B:713 C:1823 cur_avg1823 prev_avg1822 read_idx6 Time:4.6919999122 Measured Time: 0.0000000000  
R:336 G:610 B:708 C:1815 cur_avg1823 prev_avg1823 read_idx7 Time:4.8610000610 Measured Time: 0.0000000000  
R:336 G:610 B:707 C:1813 cur_avg1822 prev_avg1823 read_idx8 Time:5.0300002098 Measured Time: 0.0000000000  
R:336 G:612 B:711 C:1819 cur_avg1822 prev_avg1822 read_idx9 Time:5.1989998817 Measured Time: 0.0000000000  
R:337 G:617 B:722 C:1837 cur_avg1823 prev_avg1822 read_idx10 Time:5.3689999580 Measured Time: 0.0000000000  
R:339 G:632 B:746 C:1884 cur_avg1827 prev_avg1823 read_idx0 Time:5.5390000343 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1858 cur_avg1829 prev_avg1827 read_idx1 Time:5.7080001831 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1857 cur_avg1833 prev_avg1829 read_idx2 Time:5.8769998550 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1837 prev_avg1833 read_idx3 Time:6.0460000038 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1841 prev_avg1837 read_idx4 Time:6.2150001525 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1843 prev_avg1841 read_idx5 Time:6.3850002288 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1846 prev_avg1843 read_idx6 Time:6.5539999008 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1850 prev_avg1846 read_idx7 Time:6.7230000495 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1854 prev_avg1850 read_idx8 Time:6.8920001983 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1857 prev_avg1854 read_idx9 Time:7.0609998703 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1858 cur_avg1859 prev_avg1857 read_idx10 Time:7.2300000190 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1858 cur_avg1857 prev_avg1859 read_idx0 Time:7.4010000228 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx1 Time:7.5700001716 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx2 Time:7.7389998435 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx3 Time:7.9079999923 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx4 Time:8.0769996643 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx5 Time:8.2460002899 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx6 Time:8.4149999618 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1856 cur_avg1857 prev_avg1857 read_idx7 Time:8.5839996337 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1856 cur_avg1857 prev_avg1857 read_idx8 Time:8.7530002593 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx9 Time:8.9219999313 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1857 read_idx10 Time:9.0909996032 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx0 Time:9.2609996795 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx1 Time:9.4300003051 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1856 prev_avg1856 read_idx2 Time:9.6000003814 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1858 cur_avg1856 prev_avg1856 read_idx3 Time:9.7690000534 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx4 Time:9.9379997253 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1856 prev_avg1856 read_idx5 Time:10.1070003509 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx6 Time:10.2770004272 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1856 read_idx7 Time:10.4469995498 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx8 Time:10.6180000305 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1857 prev_avg1857 read_idx9 Time:10.7880001068 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1857 prev_avg1857 read_idx10 Time:10.9580001831 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx0 Time:11.1289997100 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1857 prev_avg1857 read_idx1 Time:11.2989997863 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx2 Time:11.4700002670 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1856 cur_avg1856 prev_avg1857 read_idx3 Time:11.6400003433 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx4 Time:11.8100004196 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1856 prev_avg1856 read_idx5 Time:11.9799995422 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1858 cur_avg1857 prev_avg1856 read_idx6 Time:12.1499996185 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx7 Time:12.3199996948 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1857 prev_avg1857 read_idx8 Time:12.4910001754 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx9 Time:12.6610002517 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx10 Time:12.8310003280 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1857 cur_avg1857 prev_avg1857 read_idx0 Time:13.0019998550 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1856 cur_avg1856 prev_avg1857 read_idx1 Time:13.1719999313 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx2 Time:13.3420000076 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx3 Time:13.5129995346 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx4 Time:13.6829996109 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx5 Time:13.8529996871 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1858 cur_avg1856 prev_avg1856 read_idx6 Time:14.0229997634 Measured Time: 0.0000000000  
R:338 G:624 B:733 C:1857 cur_avg1856 prev_avg1856 read_idx7 Time:14.1929998397 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx8 Time:14.3640003204 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx9 Time:14.5340003967 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx10 Time:14.7040004730 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx0 Time:14.8750000000 Measured Time: 0.0000000000  
R:338 G:623 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx1 Time:15.0450000762 Measured Time: 0.0000000000  
R:338 G:624 B:732 C:1857 cur_avg1856 prev_avg1856 read_idx2 Time:15.2150001525 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx3 Time:15.3859996795 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx4 Time:15.5559997558 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx5 Time:15.7259998321 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx6 Time:15.8959999084 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx7 Time:16.0659999847 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx8 Time:16.2369995117 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx9 Time:16.4069995880 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx10 Time:16.5769996643 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx0 Time:16.7479991912 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx1 Time:16.9179992675 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1855 cur_avg1855 prev_avg1856 read_idx2 Time:17.0879993438 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx3 Time:17.2590007781 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx4 Time:17.4290008544 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1855 cur_avg1855 prev_avg1855 read_idx5 Time:17.5990009307 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1855 cur_avg1855 prev_avg1855 read_idx6 Time:17.7689990997 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx7 Time:17.9389991760 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx8 Time:18.1089992523 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx9 Time:18.2800006866 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx10 Time:18.4500007629 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx0 Time:18.6210002899 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx1 Time:18.7910003662 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx2 Time:18.9610004425 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1857 cur_avg1855 prev_avg1855 read_idx3 Time:19.1319999694 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1855 prev_avg1855 read_idx4 Time:19.3020000457 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1855 read_idx5 Time:19.4720001220 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx6 Time:19.6420001983 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx7 Time:19.8120002746 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx8 Time:19.9820003509 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1856 cur_avg1856 prev_avg1856 read_idx9 Time:20.1529998779 Measured Time: 0.0000000000  
R:337 G:623 B:731 C:1855 cur_avg1856 prev_avg1856 read_idx10 Time:20.3229999542 Measured Time: 0.0000000000  
R:337 G:623 B:731 C:1855 cur_avg1855 prev_avg1856 read_idx0 Time:20.4939994812 Measured Time: 0.0000000000  
R:337 G:623 B:731 C:1854 cur_avg1855 prev_avg1855 read_idx1 Time:20.6639995574 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1855 cur_avg1855 prev_avg1855 read_idx2 Time:20.8339996337 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1855 cur_avg1855 prev_avg1855 read_idx3 Time:21.0039997100 Measured Time: 0.0000000000  
R:337 G:623 B:731 C:1855 cur_avg1855 prev_avg1855 read_idx4 Time:21.1749992370 Measured Time: 0.0000000000  
R:337 G:623 B:732 C:1855 cur_avg1855 prev_avg1855 read_idx5 Time:21.3449993133 Measured Time: 0.0000000000  
