R:329 G:610 B:706 C:1795 cur_avg163 prev_avg0 read_idx1 Time:0.1220000028 
R:328 G:612 B:712 C:1802 cur_avg327 prev_avg163 read_idx2 Time:0.2579999923 
R:327 G:615 B:715 C:1808 cur_avg491 prev_avg327 read_idx3 Time:0.3950000000 
R:328 G:616 B:716 C:1812 cur_avg656 prev_avg491 read_idx4 Time:0.5310000419 
R:328 G:614 B:708 C:1801 cur_avg819 prev_avg656 read_idx5 Time:0.6679999828 
R:328 G:611 B:702 C:1793 cur_avg982 prev_avg819 read_idx6 Time:0.8050000190 
R:331 G:621 B:716 C:1822 cur_avg1148 prev_avg982 read_idx7 Time:0.9420000076 
R:331 G:614 B:702 C:1801 cur_avg1312 prev_avg1148 read_idx8 Time:1.0800000381 
R:331 G:618 B:709 C:1812 cur_avg1476 prev_avg1312 read_idx9 Time:1.2189999818 
R:331 G:618 B:709 C:1811 cur_avg1641 prev_avg1476 read_idx10 Time:1.3569999933 
R:331 G:618 B:710 C:1812 cur_avg1806 prev_avg1641 read_idx0 Time:1.4980000495 
R:331 G:618 B:711 C:1814 cur_avg1808 prev_avg1806 read_idx1 Time:1.6369999885 
R:332 G:620 B:712 C:1817 cur_avg1809 prev_avg1808 read_idx2 Time:1.7760000228 
R:332 G:619 B:710 C:1815 cur_avg1810 prev_avg1809 read_idx3 Time:1.9140000343 
R:332 G:620 B:712 C:1818 cur_avg1810 prev_avg1810 read_idx4 Time:2.0539999008 
R:332 G:621 B:712 C:1819 cur_avg1812 prev_avg1810 read_idx5 Time:2.1930000782 
R:332 G:620 B:712 C:1818 cur_avg1814 prev_avg1812 read_idx6 Time:2.3310000896 
R:332 G:620 B:711 C:1817 cur_avg1814 prev_avg1814 read_idx7 Time:2.4709999561 
R:332 G:620 B:711 C:1817 cur_avg1815 prev_avg1814 read_idx8 Time:2.6099998950 
R:332 G:620 B:711 C:1816 cur_avg1815 prev_avg1815 read_idx9 Time:2.7479999065 
R:332 G:620 B:711 C:1817 cur_avg1816 prev_avg1815 read_idx10 Time:2.8870000839 
R:332 G:620 B:711 C:1816 cur_avg1816 prev_avg1816 read_idx0 Time:3.0280001163 
R:332 G:620 B:712 C:1818 cur_avg1817 prev_avg1816 read_idx1 Time:3.1670000553 
R:332 G:620 B:711 C:1816 cur_avg1817 prev_avg1817 read_idx2 Time:3.3050000667 
R:332 G:618 B:708 C:1811 cur_avg1816 prev_avg1817 read_idx3 Time:3.4440000057 
R:332 G:618 B:708 C:1811 cur_avg1816 prev_avg1816 read_idx4 Time:3.5840001106 
R:332 G:617 B:707 C:1809 cur_avg1815 prev_avg1816 read_idx5 Time:3.7219998836 
R:332 G:619 B:710 C:1815 cur_avg1814 prev_avg1815 read_idx6 Time:3.8610000610 
R:331 G:620 B:712 C:1810 cur_avg1814 prev_avg1814 read_idx7 Time:4.0000000000 
R:332 G:620 B:711 C:1817 cur_avg1814 prev_avg1814 read_idx8 Time:4.1399998664 
R:332 G:620 B:711 C:1817 cur_avg1814 prev_avg1814 read_idx9 Time:4.2779998779 
R:332 G:622 B:713 C:1821 cur_avg1814 prev_avg1814 read_idx10 Time:4.4169998168 
R:332 G:621 B:713 C:1820 cur_avg1815 prev_avg1814 read_idx0 Time:4.5570001602 
R:332 G:621 B:712 C:1820 cur_avg1815 prev_avg1815 read_idx1 Time:4.6960000991 
R:332 G:620 B:711 C:1816 cur_avg1815 prev_avg1815 read_idx2 Time:4.8350000381 
R:332 G:619 B:710 C:1815 cur_avg1815 prev_avg1815 read_idx3 Time:4.9739999771 
R:331 G:617 B:707 C:1809 cur_avg1815 prev_avg1815 read_idx4 Time:5.1119999885 
R:332 G:619 B:709 C:1814 cur_avg1815 prev_avg1815 read_idx5 Time:5.2519998550 
R:332 G:618 B:706 C:1810 cur_avg1815 prev_avg1815 read_idx6 Time:5.3909997940 
R:332 G:617 B:702 C:1805 cur_avg1814 prev_avg1815 read_idx7 Time:5.5300002098 
R:332 G:617 B:702 C:1805 cur_avg1813 prev_avg1814 read_idx8 Time:5.6680002212 
R:332 G:617 B:702 C:1805 cur_avg1812 prev_avg1813 read_idx9 Time:5.8080000877 
R:333 G:618 B:703 C:1807 cur_avg1811 prev_avg1812 read_idx10 Time:5.9470000267 
R:332 G:617 B:703 C:1805 cur_avg1810 prev_avg1811 read_idx0 Time:6.0859999656 
R:332 G:618 B:704 C:1808 cur_avg1809 prev_avg1810 read_idx1 Time:6.2259998321 
R:333 G:618 B:704 C:1809 cur_avg1808 prev_avg1809 read_idx2 Time:6.3649997711 
R:333 G:618 B:704 C:1809 cur_avg1807 prev_avg1808 read_idx3 Time:6.5040001869 
R:333 G:618 B:704 C:1808 cur_avg1807 prev_avg1807 read_idx4 Time:6.6420001983 
R:333 G:619 B:706 C:1812 cur_avg1807 prev_avg1807 read_idx5 Time:6.7820000648 
R:333 G:618 B:705 C:1809 cur_avg1807 prev_avg1807 read_idx6 Time:6.9210000038 
R:332 G:618 B:704 C:1807 cur_avg1807 prev_avg1807 read_idx7 Time:7.0590000152 
R:333 G:618 B:704 C:1808 cur_avg1807 prev_avg1807 read_idx8 Time:7.1979999542 
R:333 G:618 B:704 C:1808 cur_avg1808 prev_avg1807 read_idx9 Time:7.3379998207 
R:333 G:619 B:705 C:1811 cur_avg1808 prev_avg1808 read_idx10 Time:7.4759998321 
