R:317 G:728 B:791 C:2014 cur_avg1985 prev_avg1999 read_idx9 Time:0.1240000009 Measured Time: 0.0000000000  
R:317 G:727 B:788 C:2010 cur_avg1970 prev_avg1985 read_idx10 Time:0.2930000114 Measured Time: 0.0000000000  
R:317 G:729 B:789 C:2013 cur_avg1954 prev_avg1970 read_idx0 Time:0.4630000114 Measured Time: 0.0000000000  
R:315 G:726 B:785 C:2006 cur_avg1961 prev_avg1954 read_idx1 Time:0.6320000171 Measured Time: 0.0000000000  
R:315 G:726 B:785 C:2007 cur_avg1967 prev_avg1961 read_idx2 Time:0.8010000228 Measured Time: 0.0000000000  
R:317 G:732 B:792 C:2024 cur_avg1976 prev_avg1967 read_idx3 Time:0.9710000038 Measured Time: 0.0000000000  
R:318 G:732 B:788 C:2022 cur_avg1984 prev_avg1976 read_idx4 Time:1.1399999856 Measured Time: 0.0000000000  
R:320 G:736 B:792 C:2033 cur_avg1993 prev_avg1984 read_idx5 Time:1.3090000152 Measured Time: 0.0000000000  
R:322 G:742 B:797 C:2048 cur_avg2004 prev_avg1993 read_idx6 Time:1.4780000686 Measured Time: 0.0000000000  
R:321 G:736 B:789 C:2030 cur_avg2012 prev_avg2004 read_idx7 Time:1.6469999313 Measured Time: 0.0000000000  
R:319 G:731 B:784 C:2017 cur_avg2020 prev_avg2012 read_idx8 Time:1.8159999847 Measured Time: 0.0000000000  
R:317 G:725 B:777 C:2001 cur_avg2019 prev_avg2020 read_idx9 Time:1.9850000381 Measured Time: 0.0000000000  
R:317 G:725 B:776 C:1999 cur_avg2018 prev_avg2019 read_idx10 Time:2.1549999713 Measured Time: 0.0000000000  
R:317 G:725 B:777 C:2001 cur_avg2017 prev_avg2018 read_idx0 Time:2.3250000476 Measured Time: 0.0000000000  
R:317 G:726 B:779 C:2005 cur_avg2017 prev_avg2017 read_idx1 Time:2.4930000305 Measured Time: 0.0000000000  
R:317 G:727 B:779 C:2005 cur_avg2016 prev_avg2017 read_idx2 Time:2.6619999408 Measured Time: 0.0000000000  
